	pathway_name	annotation	interaction_name_2	ligand	receptor
SEMA3B_NRP1_PLXNA2	SEMA3	Secreted Signaling	SEMA3B - (NRP1+PLXNA2)	SEMA3B	NRP1,PLXNA2
SEMA3B_NRP1_PLXNA3	SEMA3	Secreted Signaling	SEMA3B - (NRP1+PLXNA3)	SEMA3B	NRP1,PLXNA3
SEMA3B_NRP1_PLXNA4	SEMA3	Secreted Signaling	SEMA3B - (NRP1+PLXNA4)	SEMA3B	NRP1,PLXNA4
SEMA3C_NRP1_PLXNA1	SEMA3	Secreted Signaling	SEMA3C - (NRP1+PLXNA1)	SEMA3C	NRP1,PLXNA1
SEMA3C_NRP1_PLXNA2	SEMA3	Secreted Signaling	SEMA3C - (NRP1+PLXNA2)	SEMA3C	NRP1,PLXNA2
SEMA3C_NRP1_PLXNA3	SEMA3	Secreted Signaling	SEMA3C - (NRP1+PLXNA3)	SEMA3C	NRP1,PLXNA3
SEMA3C_NRP1_PLXNA4	SEMA3	Secreted Signaling	SEMA3C - (NRP1+PLXNA4)	SEMA3C	NRP1,PLXNA4
SEMA3D_NRP1_PLXNA1	SEMA3	Secreted Signaling	SEMA3D - (NRP1+PLXNA1)	SEMA3D	NRP1,PLXNA1
SEMA3D_NRP1_PLXNA2	SEMA3	Secreted Signaling	SEMA3D - (NRP1+PLXNA2)	SEMA3D	NRP1,PLXNA2
SEMA3D_NRP1_PLXNA3	SEMA3	Secreted Signaling	SEMA3D - (NRP1+PLXNA3)	SEMA3D	NRP1,PLXNA3
SEMA3D_NRP1_PLXNA4	SEMA3	Secreted Signaling	SEMA3D - (NRP1+PLXNA4)	SEMA3D	NRP1,PLXNA4
SEMA3B_NRP2_PLXNA1	SEMA3	Secreted Signaling	SEMA3B - (NRP2+PLXNA1)	SEMA3B	NRP2,PLXNA1
SEMA3B_NRP2_PLXNA2	SEMA3	Secreted Signaling	SEMA3B - (NRP2+PLXNA2)	SEMA3B	NRP2,PLXNA2
SEMA3B_NRP2_PLXNA3	SEMA3	Secreted Signaling	SEMA3B - (NRP2+PLXNA3)	SEMA3B	NRP2,PLXNA3
SEMA3B_NRP2_PLXNA4	SEMA3	Secreted Signaling	SEMA3B - (NRP2+PLXNA4)	SEMA3B	NRP2,PLXNA4
SEMA3C_NRP2_PLXNA1	SEMA3	Secreted Signaling	SEMA3C - (NRP2+PLXNA1)	SEMA3C	NRP2,PLXNA1
SEMA3C_NRP2_PLXNA2	SEMA3	Secreted Signaling	SEMA3C - (NRP2+PLXNA2)	SEMA3C	NRP2,PLXNA2
SEMA3C_NRP2_PLXNA3	SEMA3	Secreted Signaling	SEMA3C - (NRP2+PLXNA3)	SEMA3C	NRP2,PLXNA3
SEMA3C_NRP2_PLXNA4	SEMA3	Secreted Signaling	SEMA3C - (NRP2+PLXNA4)	SEMA3C	NRP2,PLXNA4
SEMA3D_NRP2_PLXNA1	SEMA3	Secreted Signaling	SEMA3D - (NRP2+PLXNA1)	SEMA3D	NRP2,PLXNA1
SEMA3D_NRP2_PLXNA2	SEMA3	Secreted Signaling	SEMA3D - (NRP2+PLXNA2)	SEMA3D	NRP2,PLXNA2
SEMA3D_NRP2_PLXNA3	SEMA3	Secreted Signaling	SEMA3D - (NRP2+PLXNA3)	SEMA3D	NRP2,PLXNA3
SEMA3D_NRP2_PLXNA4	SEMA3	Secreted Signaling	SEMA3D - (NRP2+PLXNA4)	SEMA3D	NRP2,PLXNA4
SEMA3F_NRP2_PLXNA1	SEMA3	Secreted Signaling	SEMA3F - (NRP2+PLXNA1)	SEMA3F	NRP2,PLXNA1
SEMA3F_NRP2_PLXNA2	SEMA3	Secreted Signaling	SEMA3F - (NRP2+PLXNA2)	SEMA3F	NRP2,PLXNA2
SEMA3F_NRP2_PLXNA3	SEMA3	Secreted Signaling	SEMA3F - (NRP2+PLXNA3)	SEMA3F	NRP2,PLXNA3
SEMA3F_NRP2_PLXNA4	SEMA3	Secreted Signaling	SEMA3F - (NRP2+PLXNA4)	SEMA3F	NRP2,PLXNA4
SEMA3G_NRP2_PLXNA1	SEMA3	Secreted Signaling	SEMA3G - (NRP2+PLXNA1)	SEMA3G	NRP2,PLXNA1
SEMA3G_NRP2_PLXNA2	SEMA3	Secreted Signaling	SEMA3G - (NRP2+PLXNA2)	SEMA3G	NRP2,PLXNA2
SEMA3G_NRP2_PLXNA3	SEMA3	Secreted Signaling	SEMA3G - (NRP2+PLXNA3)	SEMA3G	NRP2,PLXNA3
SEMA3G_NRP2_PLXNA4	SEMA3	Secreted Signaling	SEMA3G - (NRP2+PLXNA4)	SEMA3G	NRP2,PLXNA4
SEMA3C_NRP1_NRP2	SEMA3	Secreted Signaling	SEMA3C - (NRP1+NRP2)	SEMA3C	NRP1,NRP2
SEMA3C_PLXND1	SEMA3	Secreted Signaling	SEMA3C - PLXND1	SEMA3C	PLXND1
SEMA3E_PLXND1	SEMA3	Secreted Signaling	SEMA3E - PLXND1	SEMA3E	PLXND1
ADM_CALCRL	CALCR	Secreted Signaling	ADM - CALCRL	ADM	CALCRL
CALCA_CALCRL	CALCR	Secreted Signaling	CALCA - CALCRL	CALCA	CALCRL
CALCB_CALCRL	CALCR	Secreted Signaling	CALCB - CALCRL	CALCB	CALCRL
GAS6_AXL	GAS	Secreted Signaling	GAS6 - AXL	GAS6	AXL
GAS6_TYRO3	GAS	Secreted Signaling	GAS6 - TYRO3	GAS6	TYRO3
GRN_SORT1	GRN	Secreted Signaling	GRN - SORT1	GRN	SORT1
GUCA2A_GUCY2C	GUCA	Secreted Signaling	GUCA2A - GUCY2C	GUCA2A	GUCY2C
GUCA2B_GUCY2C	GUCA	Secreted Signaling	GUCA2B - GUCY2C	GUCA2B	GUCY2C
PROS1_AXL	PROS	Secreted Signaling	PROS1 - AXL	PROS1	AXL
PROS1_TYRO3	PROS	Secreted Signaling	PROS1 - TYRO3	PROS1	TYRO3
PSAP_GPR37	PSAP	Secreted Signaling	PSAP - GPR37	PSAP	GPR37
LGALS9_CD44	GALECTIN	Secreted Signaling	LGALS9 - CD44	LGALS9	CD44
COL1A1_ITGA1_ITGB1	COLLAGEN	ECM-Receptor	COL1A1 - (ITGA1+ITGB1)	COL1A1	ITGA1,ITGB1
COL1A2_ITGA1_ITGB1	COLLAGEN	ECM-Receptor	COL1A2 - (ITGA1+ITGB1)	COL1A2	ITGA1,ITGB1
COL2A1_ITGA1_ITGB1	COLLAGEN	ECM-Receptor	COL2A1 - (ITGA1+ITGB1)	COL2A1	ITGA1,ITGB1
COL4A1_ITGA1_ITGB1	COLLAGEN	ECM-Receptor	COL4A1 - (ITGA1+ITGB1)	COL4A1	ITGA1,ITGB1
COL4A2_ITGA1_ITGB1	COLLAGEN	ECM-Receptor	COL4A2 - (ITGA1+ITGB1)	COL4A2	ITGA1,ITGB1
COL4A5_ITGA1_ITGB1	COLLAGEN	ECM-Receptor	COL4A5 - (ITGA1+ITGB1)	COL4A5	ITGA1,ITGB1
COL4A6_ITGA1_ITGB1	COLLAGEN	ECM-Receptor	COL4A6 - (ITGA1+ITGB1)	COL4A6	ITGA1,ITGB1
COL6A1_ITGA1_ITGB1	COLLAGEN	ECM-Receptor	COL6A1 - (ITGA1+ITGB1)	COL6A1	ITGA1,ITGB1
COL6A2_ITGA1_ITGB1	COLLAGEN	ECM-Receptor	COL6A2 - (ITGA1+ITGB1)	COL6A2	ITGA1,ITGB1
COL6A3_ITGA1_ITGB1	COLLAGEN	ECM-Receptor	COL6A3 - (ITGA1+ITGB1)	COL6A3	ITGA1,ITGB1
COL9A1_ITGA1_ITGB1	COLLAGEN	ECM-Receptor	COL9A1 - (ITGA1+ITGB1)	COL9A1	ITGA1,ITGB1
COL9A2_ITGA1_ITGB1	COLLAGEN	ECM-Receptor	COL9A2 - (ITGA1+ITGB1)	COL9A2	ITGA1,ITGB1
COL9A3_ITGA1_ITGB1	COLLAGEN	ECM-Receptor	COL9A3 - (ITGA1+ITGB1)	COL9A3	ITGA1,ITGB1
COL1A1_ITGA2_ITGB1	COLLAGEN	ECM-Receptor	COL1A1 - (ITGA2+ITGB1)	COL1A1	ITGA2,ITGB1
COL1A2_ITGA2_ITGB1	COLLAGEN	ECM-Receptor	COL1A2 - (ITGA2+ITGB1)	COL1A2	ITGA2,ITGB1
COL2A1_ITGA2_ITGB1	COLLAGEN	ECM-Receptor	COL2A1 - (ITGA2+ITGB1)	COL2A1	ITGA2,ITGB1
COL4A1_ITGA2_ITGB1	COLLAGEN	ECM-Receptor	COL4A1 - (ITGA2+ITGB1)	COL4A1	ITGA2,ITGB1
COL4A2_ITGA2_ITGB1	COLLAGEN	ECM-Receptor	COL4A2 - (ITGA2+ITGB1)	COL4A2	ITGA2,ITGB1
COL4A5_ITGA2_ITGB1	COLLAGEN	ECM-Receptor	COL4A5 - (ITGA2+ITGB1)	COL4A5	ITGA2,ITGB1
COL4A6_ITGA2_ITGB1	COLLAGEN	ECM-Receptor	COL4A6 - (ITGA2+ITGB1)	COL4A6	ITGA2,ITGB1
COL6A1_ITGA2_ITGB1	COLLAGEN	ECM-Receptor	COL6A1 - (ITGA2+ITGB1)	COL6A1	ITGA2,ITGB1
COL6A2_ITGA2_ITGB1	COLLAGEN	ECM-Receptor	COL6A2 - (ITGA2+ITGB1)	COL6A2	ITGA2,ITGB1
COL6A3_ITGA2_ITGB1	COLLAGEN	ECM-Receptor	COL6A3 - (ITGA2+ITGB1)	COL6A3	ITGA2,ITGB1
COL9A1_ITGA2_ITGB1	COLLAGEN	ECM-Receptor	COL9A1 - (ITGA2+ITGB1)	COL9A1	ITGA2,ITGB1
COL9A2_ITGA2_ITGB1	COLLAGEN	ECM-Receptor	COL9A2 - (ITGA2+ITGB1)	COL9A2	ITGA2,ITGB1
COL9A3_ITGA2_ITGB1	COLLAGEN	ECM-Receptor	COL9A3 - (ITGA2+ITGB1)	COL9A3	ITGA2,ITGB1
FN1_ITGA3_ITGB1	FN1	ECM-Receptor	FN1 - (ITGA3+ITGB1)	FN1	ITGA3,ITGB1
FN1_ITGA4_ITGB1	FN1	ECM-Receptor	FN1 - (ITGA4+ITGB1)	FN1	ITGA4,ITGB1
FN1_ITGA5_ITGB1	FN1	ECM-Receptor	FN1 - (ITGA5+ITGB1)	FN1	ITGA5,ITGB1
FN1_ITGA8_ITGB1	FN1	ECM-Receptor	FN1 - (ITGA8+ITGB1)	FN1	ITGA8,ITGB1
LAMA1_ITGA1_ITGB1	LAMININ	ECM-Receptor	LAMA1 - (ITGA1+ITGB1)	LAMA1	ITGA1,ITGB1
LAMA2_ITGA1_ITGB1	LAMININ	ECM-Receptor	LAMA2 - (ITGA1+ITGB1)	LAMA2	ITGA1,ITGB1
LAMA3_ITGA1_ITGB1	LAMININ	ECM-Receptor	LAMA3 - (ITGA1+ITGB1)	LAMA3	ITGA1,ITGB1
LAMA4_ITGA1_ITGB1	LAMININ	ECM-Receptor	LAMA4 - (ITGA1+ITGB1)	LAMA4	ITGA1,ITGB1
LAMA5_ITGA1_ITGB1	LAMININ	ECM-Receptor	LAMA5 - (ITGA1+ITGB1)	LAMA5	ITGA1,ITGB1
LAMB1_ITGA1_ITGB1	LAMININ	ECM-Receptor	LAMB1 - (ITGA1+ITGB1)	LAMB1	ITGA1,ITGB1
LAMB2_ITGA1_ITGB1	LAMININ	ECM-Receptor	LAMB2 - (ITGA1+ITGB1)	LAMB2	ITGA1,ITGB1
LAMB3_ITGA1_ITGB1	LAMININ	ECM-Receptor	LAMB3 - (ITGA1+ITGB1)	LAMB3	ITGA1,ITGB1
LAMC1_ITGA1_ITGB1	LAMININ	ECM-Receptor	LAMC1 - (ITGA1+ITGB1)	LAMC1	ITGA1,ITGB1
LAMC3_ITGA1_ITGB1	LAMININ	ECM-Receptor	LAMC3 - (ITGA1+ITGB1)	LAMC3	ITGA1,ITGB1
LAMA1_ITGA2_ITGB1	LAMININ	ECM-Receptor	LAMA1 - (ITGA2+ITGB1)	LAMA1	ITGA2,ITGB1
LAMA2_ITGA2_ITGB1	LAMININ	ECM-Receptor	LAMA2 - (ITGA2+ITGB1)	LAMA2	ITGA2,ITGB1
LAMA3_ITGA2_ITGB1	LAMININ	ECM-Receptor	LAMA3 - (ITGA2+ITGB1)	LAMA3	ITGA2,ITGB1
LAMA4_ITGA2_ITGB1	LAMININ	ECM-Receptor	LAMA4 - (ITGA2+ITGB1)	LAMA4	ITGA2,ITGB1
LAMA5_ITGA2_ITGB1	LAMININ	ECM-Receptor	LAMA5 - (ITGA2+ITGB1)	LAMA5	ITGA2,ITGB1
LAMB1_ITGA2_ITGB1	LAMININ	ECM-Receptor	LAMB1 - (ITGA2+ITGB1)	LAMB1	ITGA2,ITGB1
LAMB2_ITGA2_ITGB1	LAMININ	ECM-Receptor	LAMB2 - (ITGA2+ITGB1)	LAMB2	ITGA2,ITGB1
LAMB3_ITGA2_ITGB1	LAMININ	ECM-Receptor	LAMB3 - (ITGA2+ITGB1)	LAMB3	ITGA2,ITGB1
LAMC1_ITGA2_ITGB1	LAMININ	ECM-Receptor	LAMC1 - (ITGA2+ITGB1)	LAMC1	ITGA2,ITGB1
LAMC3_ITGA2_ITGB1	LAMININ	ECM-Receptor	LAMC3 - (ITGA2+ITGB1)	LAMC3	ITGA2,ITGB1
LAMA1_ITGA3_ITGB1	LAMININ	ECM-Receptor	LAMA1 - (ITGA3+ITGB1)	LAMA1	ITGA3,ITGB1
LAMA2_ITGA3_ITGB1	LAMININ	ECM-Receptor	LAMA2 - (ITGA3+ITGB1)	LAMA2	ITGA3,ITGB1
LAMA3_ITGA3_ITGB1	LAMININ	ECM-Receptor	LAMA3 - (ITGA3+ITGB1)	LAMA3	ITGA3,ITGB1
LAMA4_ITGA3_ITGB1	LAMININ	ECM-Receptor	LAMA4 - (ITGA3+ITGB1)	LAMA4	ITGA3,ITGB1
LAMA5_ITGA3_ITGB1	LAMININ	ECM-Receptor	LAMA5 - (ITGA3+ITGB1)	LAMA5	ITGA3,ITGB1
LAMB1_ITGA3_ITGB1	LAMININ	ECM-Receptor	LAMB1 - (ITGA3+ITGB1)	LAMB1	ITGA3,ITGB1
LAMB2_ITGA3_ITGB1	LAMININ	ECM-Receptor	LAMB2 - (ITGA3+ITGB1)	LAMB2	ITGA3,ITGB1
LAMB3_ITGA3_ITGB1	LAMININ	ECM-Receptor	LAMB3 - (ITGA3+ITGB1)	LAMB3	ITGA3,ITGB1
LAMC1_ITGA3_ITGB1	LAMININ	ECM-Receptor	LAMC1 - (ITGA3+ITGB1)	LAMC1	ITGA3,ITGB1
LAMC3_ITGA3_ITGB1	LAMININ	ECM-Receptor	LAMC3 - (ITGA3+ITGB1)	LAMC3	ITGA3,ITGB1
RELN_ITGA3_ITGB1	RELN	ECM-Receptor	RELN - (ITGA3+ITGB1)	RELN	ITGA3,ITGB1
THBS1_ITGA3_ITGB1	THBS	ECM-Receptor	THBS1 - (ITGA3+ITGB1)	THBS1	ITGA3,ITGB1
THBS2_ITGA3_ITGB1	THBS	ECM-Receptor	THBS2 - (ITGA3+ITGB1)	THBS2	ITGA3,ITGB1
THBS3_ITGA3_ITGB1	THBS	ECM-Receptor	THBS3 - (ITGA3+ITGB1)	THBS3	ITGA3,ITGB1
THBS4_ITGA3_ITGB1	THBS	ECM-Receptor	THBS4 - (ITGA3+ITGB1)	THBS4	ITGA3,ITGB1
COL1A1_ITGA3_ITGB1	COLLAGEN	ECM-Receptor	COL1A1 - (ITGA3+ITGB1)	COL1A1	ITGA3,ITGB1
COL1A2_ITGA3_ITGB1	COLLAGEN	ECM-Receptor	COL1A2 - (ITGA3+ITGB1)	COL1A2	ITGA3,ITGB1
COL2A1_ITGA3_ITGB1	COLLAGEN	ECM-Receptor	COL2A1 - (ITGA3+ITGB1)	COL2A1	ITGA3,ITGB1
COL4A1_ITGA3_ITGB1	COLLAGEN	ECM-Receptor	COL4A1 - (ITGA3+ITGB1)	COL4A1	ITGA3,ITGB1
COL4A2_ITGA3_ITGB1	COLLAGEN	ECM-Receptor	COL4A2 - (ITGA3+ITGB1)	COL4A2	ITGA3,ITGB1
COL4A5_ITGA3_ITGB1	COLLAGEN	ECM-Receptor	COL4A5 - (ITGA3+ITGB1)	COL4A5	ITGA3,ITGB1
COL4A6_ITGA3_ITGB1	COLLAGEN	ECM-Receptor	COL4A6 - (ITGA3+ITGB1)	COL4A6	ITGA3,ITGB1
COL6A1_ITGA3_ITGB1	COLLAGEN	ECM-Receptor	COL6A1 - (ITGA3+ITGB1)	COL6A1	ITGA3,ITGB1
COL6A2_ITGA3_ITGB1	COLLAGEN	ECM-Receptor	COL6A2 - (ITGA3+ITGB1)	COL6A2	ITGA3,ITGB1
COL6A3_ITGA3_ITGB1	COLLAGEN	ECM-Receptor	COL6A3 - (ITGA3+ITGB1)	COL6A3	ITGA3,ITGB1
COL9A1_ITGA3_ITGB1	COLLAGEN	ECM-Receptor	COL9A1 - (ITGA3+ITGB1)	COL9A1	ITGA3,ITGB1
COL9A2_ITGA3_ITGB1	COLLAGEN	ECM-Receptor	COL9A2 - (ITGA3+ITGB1)	COL9A2	ITGA3,ITGB1
COL9A3_ITGA3_ITGB1	COLLAGEN	ECM-Receptor	COL9A3 - (ITGA3+ITGB1)	COL9A3	ITGA3,ITGB1
LAMA1_ITGA6_ITGB1	LAMININ	ECM-Receptor	LAMA1 - (ITGA6+ITGB1)	LAMA1	ITGA6,ITGB1
LAMA2_ITGA6_ITGB1	LAMININ	ECM-Receptor	LAMA2 - (ITGA6+ITGB1)	LAMA2	ITGA6,ITGB1
LAMA3_ITGA6_ITGB1	LAMININ	ECM-Receptor	LAMA3 - (ITGA6+ITGB1)	LAMA3	ITGA6,ITGB1
LAMA4_ITGA6_ITGB1	LAMININ	ECM-Receptor	LAMA4 - (ITGA6+ITGB1)	LAMA4	ITGA6,ITGB1
LAMA5_ITGA6_ITGB1	LAMININ	ECM-Receptor	LAMA5 - (ITGA6+ITGB1)	LAMA5	ITGA6,ITGB1
LAMB1_ITGA6_ITGB1	LAMININ	ECM-Receptor	LAMB1 - (ITGA6+ITGB1)	LAMB1	ITGA6,ITGB1
LAMB2_ITGA6_ITGB1	LAMININ	ECM-Receptor	LAMB2 - (ITGA6+ITGB1)	LAMB2	ITGA6,ITGB1
LAMB3_ITGA6_ITGB1	LAMININ	ECM-Receptor	LAMB3 - (ITGA6+ITGB1)	LAMB3	ITGA6,ITGB1
LAMC1_ITGA6_ITGB1	LAMININ	ECM-Receptor	LAMC1 - (ITGA6+ITGB1)	LAMC1	ITGA6,ITGB1
LAMC3_ITGA6_ITGB1	LAMININ	ECM-Receptor	LAMC3 - (ITGA6+ITGB1)	LAMC3	ITGA6,ITGB1
LAMA1_ITGA7_ITGB1	LAMININ	ECM-Receptor	LAMA1 - (ITGA7+ITGB1)	LAMA1	ITGA7,ITGB1
LAMA2_ITGA7_ITGB1	LAMININ	ECM-Receptor	LAMA2 - (ITGA7+ITGB1)	LAMA2	ITGA7,ITGB1
LAMA3_ITGA7_ITGB1	LAMININ	ECM-Receptor	LAMA3 - (ITGA7+ITGB1)	LAMA3	ITGA7,ITGB1
LAMA4_ITGA7_ITGB1	LAMININ	ECM-Receptor	LAMA4 - (ITGA7+ITGB1)	LAMA4	ITGA7,ITGB1
LAMA5_ITGA7_ITGB1	LAMININ	ECM-Receptor	LAMA5 - (ITGA7+ITGB1)	LAMA5	ITGA7,ITGB1
LAMB1_ITGA7_ITGB1	LAMININ	ECM-Receptor	LAMB1 - (ITGA7+ITGB1)	LAMB1	ITGA7,ITGB1
LAMB2_ITGA7_ITGB1	LAMININ	ECM-Receptor	LAMB2 - (ITGA7+ITGB1)	LAMB2	ITGA7,ITGB1
LAMB3_ITGA7_ITGB1	LAMININ	ECM-Receptor	LAMB3 - (ITGA7+ITGB1)	LAMB3	ITGA7,ITGB1
LAMC1_ITGA7_ITGB1	LAMININ	ECM-Receptor	LAMC1 - (ITGA7+ITGB1)	LAMC1	ITGA7,ITGB1
LAMC3_ITGA7_ITGB1	LAMININ	ECM-Receptor	LAMC3 - (ITGA7+ITGB1)	LAMC3	ITGA7,ITGB1
TNC_ITGA8_ITGB1	TENASCIN	ECM-Receptor	TNC - (ITGA8+ITGB1)	TNC	ITGA8,ITGB1
TNXB_ITGA8_ITGB1	TENASCIN	ECM-Receptor	TNXB - (ITGA8+ITGB1)	TNXB	ITGA8,ITGB1
TNC_ITGA9_ITGB1	TENASCIN	ECM-Receptor	TNC - (ITGA9+ITGB1)	TNC	ITGA9,ITGB1
TNXB_ITGA9_ITGB1	TENASCIN	ECM-Receptor	TNXB - (ITGA9+ITGB1)	TNXB	ITGA9,ITGB1
COL1A1_ITGA9_ITGB1	COLLAGEN	ECM-Receptor	COL1A1 - (ITGA9+ITGB1)	COL1A1	ITGA9,ITGB1
COL1A2_ITGA9_ITGB1	COLLAGEN	ECM-Receptor	COL1A2 - (ITGA9+ITGB1)	COL1A2	ITGA9,ITGB1
COL2A1_ITGA9_ITGB1	COLLAGEN	ECM-Receptor	COL2A1 - (ITGA9+ITGB1)	COL2A1	ITGA9,ITGB1
COL4A1_ITGA9_ITGB1	COLLAGEN	ECM-Receptor	COL4A1 - (ITGA9+ITGB1)	COL4A1	ITGA9,ITGB1
COL4A2_ITGA9_ITGB1	COLLAGEN	ECM-Receptor	COL4A2 - (ITGA9+ITGB1)	COL4A2	ITGA9,ITGB1
COL4A5_ITGA9_ITGB1	COLLAGEN	ECM-Receptor	COL4A5 - (ITGA9+ITGB1)	COL4A5	ITGA9,ITGB1
COL4A6_ITGA9_ITGB1	COLLAGEN	ECM-Receptor	COL4A6 - (ITGA9+ITGB1)	COL4A6	ITGA9,ITGB1
COL6A1_ITGA9_ITGB1	COLLAGEN	ECM-Receptor	COL6A1 - (ITGA9+ITGB1)	COL6A1	ITGA9,ITGB1
COL6A2_ITGA9_ITGB1	COLLAGEN	ECM-Receptor	COL6A2 - (ITGA9+ITGB1)	COL6A2	ITGA9,ITGB1
COL6A3_ITGA9_ITGB1	COLLAGEN	ECM-Receptor	COL6A3 - (ITGA9+ITGB1)	COL6A3	ITGA9,ITGB1
COL9A1_ITGA9_ITGB1	COLLAGEN	ECM-Receptor	COL9A1 - (ITGA9+ITGB1)	COL9A1	ITGA9,ITGB1
COL9A2_ITGA9_ITGB1	COLLAGEN	ECM-Receptor	COL9A2 - (ITGA9+ITGB1)	COL9A2	ITGA9,ITGB1
COL9A3_ITGA9_ITGB1	COLLAGEN	ECM-Receptor	COL9A3 - (ITGA9+ITGB1)	COL9A3	ITGA9,ITGB1
LAMA1_ITGA9_ITGB1	LAMININ	ECM-Receptor	LAMA1 - (ITGA9+ITGB1)	LAMA1	ITGA9,ITGB1
LAMA2_ITGA9_ITGB1	LAMININ	ECM-Receptor	LAMA2 - (ITGA9+ITGB1)	LAMA2	ITGA9,ITGB1
LAMA3_ITGA9_ITGB1	LAMININ	ECM-Receptor	LAMA3 - (ITGA9+ITGB1)	LAMA3	ITGA9,ITGB1
LAMA4_ITGA9_ITGB1	LAMININ	ECM-Receptor	LAMA4 - (ITGA9+ITGB1)	LAMA4	ITGA9,ITGB1
LAMA5_ITGA9_ITGB1	LAMININ	ECM-Receptor	LAMA5 - (ITGA9+ITGB1)	LAMA5	ITGA9,ITGB1
LAMB1_ITGA9_ITGB1	LAMININ	ECM-Receptor	LAMB1 - (ITGA9+ITGB1)	LAMB1	ITGA9,ITGB1
LAMB2_ITGA9_ITGB1	LAMININ	ECM-Receptor	LAMB2 - (ITGA9+ITGB1)	LAMB2	ITGA9,ITGB1
LAMB3_ITGA9_ITGB1	LAMININ	ECM-Receptor	LAMB3 - (ITGA9+ITGB1)	LAMB3	ITGA9,ITGB1
LAMC1_ITGA9_ITGB1	LAMININ	ECM-Receptor	LAMC1 - (ITGA9+ITGB1)	LAMC1	ITGA9,ITGB1
LAMC3_ITGA9_ITGB1	LAMININ	ECM-Receptor	LAMC3 - (ITGA9+ITGB1)	LAMC3	ITGA9,ITGB1
FN1_ITGAV_ITGB1	FN1	ECM-Receptor	FN1 - (ITGAV+ITGB1)	FN1	ITGAV,ITGB1
FN1_ITGAV_ITGB8	FN1	ECM-Receptor	FN1 - (ITGAV+ITGB8)	FN1	ITGAV,ITGB8
LAMA1_ITGAV_ITGB8	LAMININ	ECM-Receptor	LAMA1 - (ITGAV+ITGB8)	LAMA1	ITGAV,ITGB8
LAMA2_ITGAV_ITGB8	LAMININ	ECM-Receptor	LAMA2 - (ITGAV+ITGB8)	LAMA2	ITGAV,ITGB8
LAMA3_ITGAV_ITGB8	LAMININ	ECM-Receptor	LAMA3 - (ITGAV+ITGB8)	LAMA3	ITGAV,ITGB8
LAMA4_ITGAV_ITGB8	LAMININ	ECM-Receptor	LAMA4 - (ITGAV+ITGB8)	LAMA4	ITGAV,ITGB8
LAMA5_ITGAV_ITGB8	LAMININ	ECM-Receptor	LAMA5 - (ITGAV+ITGB8)	LAMA5	ITGAV,ITGB8
LAMB1_ITGAV_ITGB8	LAMININ	ECM-Receptor	LAMB1 - (ITGAV+ITGB8)	LAMB1	ITGAV,ITGB8
LAMB2_ITGAV_ITGB8	LAMININ	ECM-Receptor	LAMB2 - (ITGAV+ITGB8)	LAMB2	ITGAV,ITGB8
LAMB3_ITGAV_ITGB8	LAMININ	ECM-Receptor	LAMB3 - (ITGAV+ITGB8)	LAMB3	ITGAV,ITGB8
LAMC1_ITGAV_ITGB8	LAMININ	ECM-Receptor	LAMC1 - (ITGAV+ITGB8)	LAMC1	ITGAV,ITGB8
LAMC3_ITGAV_ITGB8	LAMININ	ECM-Receptor	LAMC3 - (ITGAV+ITGB8)	LAMC3	ITGAV,ITGB8
COL1A1_ITGAV_ITGB8	COLLAGEN	ECM-Receptor	COL1A1 - (ITGAV+ITGB8)	COL1A1	ITGAV,ITGB8
COL1A2_ITGAV_ITGB8	COLLAGEN	ECM-Receptor	COL1A2 - (ITGAV+ITGB8)	COL1A2	ITGAV,ITGB8
COL2A1_ITGAV_ITGB8	COLLAGEN	ECM-Receptor	COL2A1 - (ITGAV+ITGB8)	COL2A1	ITGAV,ITGB8
COL4A1_ITGAV_ITGB8	COLLAGEN	ECM-Receptor	COL4A1 - (ITGAV+ITGB8)	COL4A1	ITGAV,ITGB8
COL4A2_ITGAV_ITGB8	COLLAGEN	ECM-Receptor	COL4A2 - (ITGAV+ITGB8)	COL4A2	ITGAV,ITGB8
COL4A5_ITGAV_ITGB8	COLLAGEN	ECM-Receptor	COL4A5 - (ITGAV+ITGB8)	COL4A5	ITGAV,ITGB8
COL4A6_ITGAV_ITGB8	COLLAGEN	ECM-Receptor	COL4A6 - (ITGAV+ITGB8)	COL4A6	ITGAV,ITGB8
COL6A1_ITGAV_ITGB8	COLLAGEN	ECM-Receptor	COL6A1 - (ITGAV+ITGB8)	COL6A1	ITGAV,ITGB8
COL6A2_ITGAV_ITGB8	COLLAGEN	ECM-Receptor	COL6A2 - (ITGAV+ITGB8)	COL6A2	ITGAV,ITGB8
COL6A3_ITGAV_ITGB8	COLLAGEN	ECM-Receptor	COL6A3 - (ITGAV+ITGB8)	COL6A3	ITGAV,ITGB8
COL9A1_ITGAV_ITGB8	COLLAGEN	ECM-Receptor	COL9A1 - (ITGAV+ITGB8)	COL9A1	ITGAV,ITGB8
COL9A2_ITGAV_ITGB8	COLLAGEN	ECM-Receptor	COL9A2 - (ITGAV+ITGB8)	COL9A2	ITGAV,ITGB8
COL9A3_ITGAV_ITGB8	COLLAGEN	ECM-Receptor	COL9A3 - (ITGAV+ITGB8)	COL9A3	ITGAV,ITGB8
LAMA1_ITGA6_ITGB4	LAMININ	ECM-Receptor	LAMA1 - (ITGA6+ITGB4)	LAMA1	ITGA6,ITGB4
