	pathway_name	annotation	interaction_name_2	ligand	receptor
WNT16_FZD10_LRP5	WNT	Secreted Signaling	WNT16 - (FZD10+LRP5)	WNT16	FZD10,LRP5
WNT16_FZD2_LRP5	WNT	Secreted Signaling	WNT16 - (FZD2+LRP5)	WNT16	FZD2,LRP5
WNT16_FZD3_LRP5	WNT	Secreted Signaling	WNT16 - (FZD3+LRP5)	WNT16	FZD3,LRP5
WNT16_FZD4_LRP5	WNT	Secreted Signaling	WNT16 - (FZD4+LRP5)	WNT16	FZD4,LRP5
WNT16_FZD5_LRP5	WNT	Secreted Signaling	WNT16 - (FZD5+LRP5)	WNT16	FZD5,LRP5
WNT16_FZD6_LRP5	WNT	Secreted Signaling	WNT16 - (FZD6+LRP5)	WNT16	FZD6,LRP5
WNT16_FZD7_LRP5	WNT	Secreted Signaling	WNT16 - (FZD7+LRP5)	WNT16	FZD7,LRP5
WNT16_FZD8_LRP5	WNT	Secreted Signaling	WNT16 - (FZD8+LRP5)	WNT16	FZD8,LRP5
WNT2B_FZD1_LRP5	WNT	Secreted Signaling	WNT2B - (FZD1+LRP5)	WNT2B	FZD1,LRP5
WNT2B_FZD10_LRP5	WNT	Secreted Signaling	WNT2B - (FZD10+LRP5)	WNT2B	FZD10,LRP5
WNT2B_FZD2_LRP5	WNT	Secreted Signaling	WNT2B - (FZD2+LRP5)	WNT2B	FZD2,LRP5
WNT2B_FZD3_LRP5	WNT	Secreted Signaling	WNT2B - (FZD3+LRP5)	WNT2B	FZD3,LRP5
WNT2B_FZD4_LRP5	WNT	Secreted Signaling	WNT2B - (FZD4+LRP5)	WNT2B	FZD4,LRP5
WNT2B_FZD5_LRP5	WNT	Secreted Signaling	WNT2B - (FZD5+LRP5)	WNT2B	FZD5,LRP5
WNT2B_FZD6_LRP5	WNT	Secreted Signaling	WNT2B - (FZD6+LRP5)	WNT2B	FZD6,LRP5
WNT2B_FZD7_LRP5	WNT	Secreted Signaling	WNT2B - (FZD7+LRP5)	WNT2B	FZD7,LRP5
WNT2B_FZD8_LRP5	WNT	Secreted Signaling	WNT2B - (FZD8+LRP5)	WNT2B	FZD8,LRP5
WNT6_FZD1_LRP5	WNT	Secreted Signaling	WNT6 - (FZD1+LRP5)	WNT6	FZD1,LRP5
WNT6_FZD10_LRP5	WNT	Secreted Signaling	WNT6 - (FZD10+LRP5)	WNT6	FZD10,LRP5
WNT6_FZD2_LRP5	WNT	Secreted Signaling	WNT6 - (FZD2+LRP5)	WNT6	FZD2,LRP5
WNT6_FZD3_LRP5	WNT	Secreted Signaling	WNT6 - (FZD3+LRP5)	WNT6	FZD3,LRP5
WNT6_FZD4_LRP5	WNT	Secreted Signaling	WNT6 - (FZD4+LRP5)	WNT6	FZD4,LRP5
WNT6_FZD5_LRP5	WNT	Secreted Signaling	WNT6 - (FZD5+LRP5)	WNT6	FZD5,LRP5
WNT6_FZD6_LRP5	WNT	Secreted Signaling	WNT6 - (FZD6+LRP5)	WNT6	FZD6,LRP5
WNT6_FZD7_LRP5	WNT	Secreted Signaling	WNT6 - (FZD7+LRP5)	WNT6	FZD7,LRP5
WNT6_FZD8_LRP5	WNT	Secreted Signaling	WNT6 - (FZD8+LRP5)	WNT6	FZD8,LRP5
WNT16_FZD1_LRP6	WNT	Secreted Signaling	WNT16 - (FZD1+LRP6)	WNT16	FZD1,LRP6
WNT16_FZD10_LRP6	WNT	Secreted Signaling	WNT16 - (FZD10+LRP6)	WNT16	FZD10,LRP6
WNT16_FZD2_LRP6	WNT	Secreted Signaling	WNT16 - (FZD2+LRP6)	WNT16	FZD2,LRP6
WNT16_FZD3_LRP6	WNT	Secreted Signaling	WNT16 - (FZD3+LRP6)	WNT16	FZD3,LRP6
WNT16_FZD4_LRP6	WNT	Secreted Signaling	WNT16 - (FZD4+LRP6)	WNT16	FZD4,LRP6
WNT16_FZD5_LRP6	WNT	Secreted Signaling	WNT16 - (FZD5+LRP6)	WNT16	FZD5,LRP6
WNT16_FZD6_LRP6	WNT	Secreted Signaling	WNT16 - (FZD6+LRP6)	WNT16	FZD6,LRP6
