Endothelial	Epithelial	Fibroblasts	Immune	Muscle	Neural	Pericytes
SEMA3A / NRP1 + PLXNA2	100	16.27773248858	17.9603884230243	8.46653804406669	19.5351780619335	25.7569340212794	29.6588479834947
MDK / SDC2	11.7649613320482	18.3461452361734	40.8736168035636	14.5643004982146	17.9401960639848	27.8093311049601	100
PTN / SDC2	11.7649613320482	18.3461452361734	40.8736168035636	14.5643004982146	17.9401960639848	27.8093311049601	100
WNT5A / FZD5	31.4729744735141	100	12.961520724941	12.9000271861418	10.9029981800232	31.5181427200246	28.1149141344144
WNT5B / FZD5	31.4729744735141	100	12.961520724941	12.9000271861418	10.9029981800232	31.5181427200246	28.1149141344144
WNT11 / FZD5	31.4729744735141	100	12.961520724941	12.9000271861418	10.9029981800232	31.5181427200246	28.1149141344144
LAMA5 / ITGA2 + ITGB1	95.1854604247334	31.6601382448217	13.2726200383198	0	24.4385137570263	33.1445089364646	11.7335782964849
COL6A3 / SDC1	19.5358455101597	95.6963819322067	36.9785392520188	10.2265406150584	0	36.4181604463141	24.9903222873826
WNT2B / FZD9 + LRP5	82.3147439713433	60.3187816304678	27.6086931151338	0	0	44.6455137353803	55.0508613595096
WNT4 / FZD9 + LRP5	82.3147439713433	60.3187816304678	27.6086931151338	0	0	44.6455137353803	55.0508613595096
COL4A5 / ITGA9 + ITGB1	67.9867721741646	16.5518608119129	32.2289950625577	28.9122117309265	95.3329730211357	8.65702769057072	24.6999030041946
COL4A6 / ITGA9 + ITGB1	67.9867721741646	16.5518608119129	32.2289950625577	28.9122117309265	95.3329730211357	8.65702769057072	24.6999030041946
COL6A1 / ITGA9 + ITGB1	67.9867721741646	16.5518608119129	32.2289950625577	28.9122117309265	95.3329730211357	8.65702769057072	24.6999030041946
COL9A1 / ITGA9 + ITGB1	67.9867721741646	16.5518608119129	32.2289950625577	28.9122117309265	95.3329730211357	8.65702769057072	24.6999030041946
LAMA4 / ITGA9 + ITGB1	67.9867721741646	16.5518608119129	32.2289950625577	28.9122117309265	95.3329730211357	8.65702769057072	24.6999030041946
LAMB1 / ITGA9 + ITGB1	67.9867721741646	16.5518608119129	32.2289950625577	28.9122117309265	95.3329730211357	8.65702769057072	24.6999030041946
FGF2 / FGFR3	16.2948272340753	92.8054078081382	11.811862542365	8.59599017199448	13.12089438572	5.69422759563025	13.2352473719972
COL6A2 / ITGA2 + ITGB1	94.6308041889277	31.4756511075467	13.1952790091659	0	24.2961078266596	32.951372206524	11.6652054342702
INHBA / ACVR1B + ACVR2B	95.2333760096495	73.2488750203746	47.2496468508145	18.4966824681929	15.4426248296843	76.671555085645	74.3334291034613
LAMA5 / SV2A	23.8077563133901	14.7890828115423	22.8521565724039	0	47.3213633375482	95.1854604247334	31.8591743354913
COL6A2 / SDC1	19.3183141704011	94.6308041889277	36.5667837852987	10.1126682423509	0	36.0126447889902	24.7120554324699
DLL1 / NOTCH1	100	15.5628062844858	18.2872195119884	13.0132098434516	27.1589694191871	42.4800180060962	51.0214109072791
WNT2B / FZD3 + LRP6	38.3235691948237	18.7933310090191	28.6190156405644	3.96758170599669	38.665158102339	100	27.7354407855939
WNT4 / FZD3 + LRP6	38.3235691948237	18.7933310090191	28.6190156405644	3.96758170599669	38.665158102339	100	27.7354407855939
FGF2 / FGFR1	92.8054078081382	16.4433850279067	74.711224053188	11.474539444193	68.7099511280784	43.5375642569118	41.6694940810818
JAM3 / F11R	34.7174009035665	85.6746952766389	10.4169231424624	12.7168049947007	1.96352255428047	2.93612537910292	4.63342935711216
FN1 / ITGA5 + ITGB1	97.4770382724206	11.2347737623435	34.8413102746687	24.2674898997874	53.4322527814634	10.0902681414463	34.534689261553
MDK / ITGA6 + ITGB1	100	32.6926467501047	17.2423001415028	20.2886072221203	13.098427378202	34.1268964292662	19.789961382411
LAMA4 / ITGA6 + ITGB1	100	32.6926467501047	17.2423001415028	20.2886072221203	13.098427378202	34.1268964292662	19.789961382411
LAMB1 / ITGA6 + ITGB1	100	32.6926467501047	17.2423001415028	20.2886072221203	13.098427378202	34.1268964292662	19.789961382411
COL1A2 / CD44	4.34269841727465	3.69333933659101	11.5760524629577	86.3361980333439	33.8288956278099	20.7253260284108	3.33451125155838
WNT5A / FZD3	21.7966085579956	22.0882284570896	31.7128812087906	10.5316443153037	45.0433563564138	100	25.1270553711635
WNT5B / FZD3	21.7966085579956	22.0882284570896	31.7128812087906	10.5316443153037	45.0433563564138	100	25.1270553711635
WNT11 / FZD3	21.7966085579956	22.0882284570896	31.7128812087906	10.5316443153037	45.0433563564138	100	25.1270553711635
WNT2B / FZD8 + LRP6	61.405112644504	17.487886446754	38.4902766535904	2.60234585701149	0	80.5677493307951	33.4698196681879
WNT4 / FZD8 + LRP6	61.405112644504	17.487886446754	38.4902766535904	2.60234585701149	0	80.5677493307951	33.4698196681879
NRG2 / ERBB4	0	1.03536242440713	0	0	14.5532973025465	80.9496714773148	27.0369434480865
COL6A3 / ITGA9 + ITGB1	65.0608811631677	15.8395319394555	30.8419822079773	27.6679405630757	91.2302059696336	8.28446228274545	23.6369135157787
COL4A5 / ITGA1 + ITGB1	60.1873507115464	17.2242799379026	28.6350331901761	18.3551222449274	74.8959060033925	58.0395699257314	94.0484708117752
COL4A6 / ITGA1 + ITGB1	60.1873507115464	17.2242799379026	28.6350331901761	18.3551222449274	74.8959060033925	58.0395699257314	94.0484708117752
COL6A1 / ITGA1 + ITGB1	60.1873507115464	17.2242799379026	28.6350331901761	18.3551222449274	74.8959060033925	58.0395699257314	94.0484708117752
COL9A1 / ITGA1 + ITGB1	60.1873507115464	17.2242799379026	28.6350331901761	18.3551222449274	74.8959060033925	58.0395699257314	94.0484708117752
LAMA4 / ITGA1 + ITGB1	60.1873507115464	17.2242799379026	28.6350331901761	18.3551222449274	74.8959060033925	58.0395699257314	94.0484708117752
LAMB1 / ITGA1 + ITGB1	60.1873507115464	17.2242799379026	28.6350331901761	18.3551222449274	74.8959060033925	58.0395699257314	94.0484708117752
JAM3 / JAM2	85.6746952766389	3.46229061558026	18.0447440970744	5.35548470919228	11.4887837187386	8.99975273263679	3.87287555355177
SEMA4D / PLXNB1	39.24121418172	100	31.9568853547718	7.04248518030529	21.2414993096415	52.697248801142	38.7684346548177
LAMA5 / ITGA9 + ITGB1	64.7135221218931	15.7549649226804	30.6773173405602	27.5202218550562	90.7431293067549	8.24023166636641	23.5107163990052
NEGR1 / NEGR1	6.29117164136477	5.04553744827977	28.5246750642888	3.20132779977463	65.5921326123455	70.8831232252328	8.46095218746906
CCL2 / ACKR2	0	79.1738402473327	0	0	0	17.0894155272021	0
COL6A2 / ITGA9 + ITGB1	64.336429250506	15.6631589945452	30.4985572097082	27.3598584697812	90.2143590271141	8.19221492244522	23.3737168467544
PROS1 / TYRO3	33.6195165373636	60.5080351813135	81.5367865873827	3.38829568216428	55.5380018480512	90.7816488988744	49.0093794189238
COL4A5 / ITGA10 + ITGB1	100	26.3811077464774	43.4955084592353	33.1567201547681	65.656696540737	38.2558525245771	90.6391717614165
COL4A6 / ITGA10 + ITGB1	100	26.3811077464774	43.4955084592353	33.1567201547681	65.656696540737	38.2558525245771	90.6391717614165
COL6A1 / ITGA10 + ITGB1	100	26.3811077464774	43.4955084592353	33.1567201547681	65.656696540737	38.2558525245771	90.6391717614165
COL9A1 / ITGA10 + ITGB1	100	26.3811077464774	43.4955084592353	33.1567201547681	65.656696540737	38.2558525245771	90.6391717614165
WNT2B / FZD6 + LRP5	82.3147439713433	31.8372033754532	13.6140342474035	0	31.4721865856653	7.38948538585692	0
WNT4 / FZD6 + LRP5	82.3147439713433	31.8372033754532	13.6140342474035	0	31.4721865856653	7.38948538585692	0
COL1A1 / CD44	4.2009136497026	3.5727554946829	11.1981059075779	83.5174073656525	32.7244159603459	20.0486648257576	3.22564278837247
CD99 / PILRA	10.2201041481304	12.2936976170907	12.7907959198259	82.759833793856	0	4.36201390341507	6.02910546047463
LAMA5 / ITGA6 + ITGB1	95.1854604247334	31.1186463341188	16.4121627775039	19.3118041981409	12.4677984083409	32.4838434948689	18.8371658597248
PSAP / GPR37L1	0	73.7828106495983	31.2217718592056	0	0	38.108254396458	0
CCL2 / ACKR1	79.1738402473327	5.06573587457114	5.41415697289094	0	4.17710698937957	3.06273842772018	3.13294987941384
COL1A2 / SDC4	6.6265439237096	86.3361980333439	12.730230442297	27.4089471884068	18.2619493289755	6.44489491914711	8.07521452224703
NECTIN3 / NECTIN2	100	90.4518350532237	51.0680452961545	30.528269696553	25.7863841309867	50.9495036601884	72.872634527261
WNT2B / FZD6 + LRP6	82.0864524544627	12.7308743570071	9.60222483169069	0	20.6263468822805	13.1840627214319	0
WNT4 / FZD6 + LRP6	82.0864524544627	12.7308743570071	9.60222483169069	0	20.6263468822805	13.1840627214319	0
LAMC1 / ITGA6 + ITGB4	79.2538164831759	30.8401509695901	4.99475428753276	0	2.70139666851812	12.8074686033574	4.55599908698659
CD1D / CEACAM5	7.14485516318292	77.514992975222	6.01469389692017	0	0	0	3.73035945200331
COL6A3 / ITGA1 + ITGB1	57.5971170117982	16.4830127144477	27.4026907280851	17.5651878876292	71.672672260593	55.5417685079381	90.0009838294364
DLL1 / NOTCH2	13.5805062230846	24.7607867332495	65.1180166714562	40.7839911360725	100	53.6342458621743	55.0736864219357
COL1A2 / ITGA2 + ITGB1	86.3361980333439	28.71673838705	12.0386826615796	0	22.1664984752121	30.0631091606611	10.6427235307236
LAMA5 / ITGA1 + ITGB1	57.2896068922345	16.3950101637375	27.2563881848444	17.4714076203568	71.2900129686047	55.2452318623425	89.5204699646093
LAMA4 / ITGA7 + ITGB1	24.9772545951919	13.488675612192	23.8754374151113	11.8759514608301	31.9951403670943	25.2960684824884	94.0484708117752
LAMB1 / ITGA7 + ITGB1	24.9772545951919	13.488675612192	23.8754374151113	11.8759514608301	31.9951403670943	25.2960684824884	94.0484708117752
WNT2B / FZD5 + LRP5	46.1792129148346	100	25.9405863904139	13.3558567425069	29.0256522839271	31.4662684158247	38.6670800103117
WNT4 / FZD5 + LRP5	46.1792129148346	100	25.9405863904139	13.3558567425069	29.0256522839271	31.4662684158247	38.6670800103117
COL1A2 / SDC1	17.6250198038712	86.3361980333439	33.3616216557463	9.22626977019046	0	32.8560542083031	22.5459873232096
COL6A2 / ITGA1 + ITGB1	56.9557739983467	16.2994746209893	27.09756218763	17.3695997902356	70.8745981555937	54.9233117685146	88.9988242565718
TNFSF12 / TNFRSF12A	21.7175996460113	91.540314840493	25.3151383040542	8.59323481198759	53.6928210136321	47.7125207670661	23.3946080894716
COL6A3 / ITGA10 + ITGB1	95.6963819322067	25.245765627016	41.6236278985051	31.7297815554998	62.8310830856936	36.6094667433411	86.7384079889939
AVP / AVPR2	73.9943001689878	3.13962436749904	0	0	0	0	0
COL1A1 / SDC4	6.41019388054479	83.5174073656525	12.3146011282236	26.51407242781	17.6657149161225	6.23447553462282	7.81156683039332
BMP4 / BMPR1A + ACVR2A	27.4324794651241	43.0465517897306	61.3725474332767	0	52.0367427529916	79.4338146088989	73.6018431120849
BMP5 / BMPR1A + ACVR2A	27.4324794651241	43.0465517897306	61.3725474332767	0	52.0367427529916	79.4338146088989	73.6018431120849
SEMA5A / PLXNA1	50.7677403703209	53.9257982920345	89.4616893208349	18.0729506755368	52.6694950137891	87.8350225692981	93.0783878983891
COL6A2 / ITGA10 + ITGB1	94.6308041889277	24.9646544144391	41.1601494410374	31.3764709251293	62.1314599403832	36.2018208933375	85.7725771480118
LAMA4 / DAG1	70.1201802065067	51.4067890292142	35.3724028952287	14.705602308876	48.2981593268633	100	69.877369938478
LAMB1 / DAG1	70.1201802065067	51.4067890292142	35.3724028952287	14.705602308876	48.2981593268633	100	69.877369938478
AVP / AVPR1A	4.33654866291001	0.0572711619623139	2.12958251541968	0	0	2.11668567635541	73.9943001689878
LAMC1 / CD44	3.98645563789523	3.39036516154245	10.6264389491015	79.2538164831759	31.0538238535765	19.025173948189	3.06097267208857
EFNB3 / EPHB1	73.2010952629446	0	0	0	0	7.54288234071181	0
COL1A1 / ITGA2 + ITGB1	83.5174073656525	27.7791655495168	11.645631692105	0	21.4427844310381	29.0815786615866	10.2952492331452
MDK / LRP1	14.0657267921019	44.1884081776504	91.0029158681149	23.9448206793348	72.0772282355282	30.5099805601681	49.2485091965252
