Endothelial	Fibroblasts	Immune	Muscle	Myofibroblast_Mesothelium	Neural	Pericytes
EFNA3 / EPHA3	8.34266279928318	44.6691971473337	11.5857912045146	31.1789037743463	54.9859392990604	22.0749614335747	81.2273950304802
EGF / EGFR + ERBB2	12.6563625402971	43.8274884317411	14.1165026083456	36.1421716660815	84.1189372303142	18.000317712761	54.5692890423865
AREG / EGFR + ERBB2	12.6563625402971	43.8274884317411	14.1165026083456	36.1421716660815	84.1189372303142	18.000317712761	54.5692890423865
EREG / EGFR + ERBB2	12.6563625402971	43.8274884317411	14.1165026083456	36.1421716660815	84.1189372303142	18.000317712761	54.5692890423865
COL2A1 / ITGA10 + ITGB1	100	43.4955084592353	33.1567201547681	65.656696540737	66.3674982122006	38.2558525245771	90.6391717614165
WNT3 / FZD7 + LRP5	26.9032040190708	59.9249658258252	8.88807157165007	87.9040770644586	59.7114998085734	34.5949751202393	50.7853411383485
COL2A1 / ITGA1 + ITGB1	60.1873507115464	28.6350331901761	18.3551222449274	74.8959060033925	58.9181172522034	58.0395699257314	94.0484708117752
LAMA3 / ITGA1 + ITGB1	60.1873507115464	28.6350331901761	18.3551222449274	74.8959060033925	58.9181172522034	58.0395699257314	94.0484708117752
LAMB3 / ITGA1 + ITGB1	60.1873507115464	28.6350331901761	18.3551222449274	74.8959060033925	58.9181172522034	58.0395699257314	94.0484708117752
LAMC2 / ITGA1 + ITGB1	60.1873507115464	28.6350331901761	18.3551222449274	74.8959060033925	58.9181172522034	58.0395699257314	94.0484708117752
CDH1 / ITGA1 + ITGB1	60.1873507115464	28.6350331901761	18.3551222449274	74.8959060033925	58.9181172522034	58.0395699257314	94.0484708117752
EFNA3 / EPHA4	81.2273950304802	24.874699194111	8.53677382254767	8.36116363372843	41.3124820498978	21.1315394027664	15.0400771618643
WNT3 / FZD4 + LRP6	82.0864524544627	23.6970136754574	0	31.2924532298104	17.4034398301332	19.9613488760276	30.5812849535315
LIF / LIFR + IL6ST	82.0380280189524	20.6243612697724	4.26748921163024	11.3882996174259	31.5279010975284	20.1660505868176	23.3786779820901
PRSS3 / PARD3	32.2317768684549	63.6103767183652	26.081663453523	63.5420268048251	77.7625796278889	53.8090695533449	100
F2 / PARD3	32.2317768684549	63.6103767183652	26.081663453523	63.5420268048251	77.7625796278889	53.8090695533449	100
PLG / PARD3	32.2317768684549	63.6103767183652	26.081663453523	63.5420268048251	77.7625796278889	53.8090695533449	100
FGF18 / FGFR4	6.36527562286403	44.2036448699224	7.45276158894928	4.03268678211737	68.3923278408103	1.30030736307062	17.8252857210145
EFNA3 / EPHA7	30.0198373198004	37.9541937188734	7.06583552879135	45.7931497448694	81.2273950304802	32.4102966905493	7.28365493787923
WNT11 / FZD1	12.7139730896197	48.4946129936391	6.98566054582755	24.6492631192163	80.3271443984009	19.9827146169329	35.4272909868668
COMP / CD47	42.0663227269832	32.3299307900023	66.9658737489918	28.7027774575702	52.7860850030972	100	36.872556394086
NECTIN3 / NECTIN2	98.8564411202859	50.4840521294739	30.179160957615	25.4915016454996	58.8961694288792	50.3668660869121	72.0392930442428
GAS6 / MERTK	56.6245425218752	7.40476322708062	56.6338572215719	6.61444715136327	6.62759383396554	2.70596102923747	6.32825773966401
WNT3 / FZD2 + LRP5	36.6019592439211	71.6295670100238	25.1040620697455	87.7624412498926	78.4812378125966	32.4499953558122	50.4028478437014
EREG / ERBB2 + ERBB4	0	0	0	37.0560193315112	0	58.487448943796	37.181510408219
PDGFA / PDGFRA	6.83829226787745	42.1962635523	3.85790169734815	3.9806458244721	63.0988156505038	5.40318238880119	4.39272133474268
EFNA4 / EPHA3	7.70873474775197	41.2749502752791	10.7054298354375	28.8097343383901	50.8077613959019	20.3975668623336	75.0552260837677
WNT11 / FZD3	17.5085932303353	25.4740518814786	8.45976913667996	36.1820419023029	45.2487452686424	80.3271443984009	20.1838460510607
NECTIN3 / NECTIN1	46.6762928212801	71.4272437739121	21.2034481766683	0	48.6595100462097	41.8079069564539	60.3072694126375
EFNA4 / EPHA4	75.0552260837677	22.9845629184482	7.8880959931914	7.7258297723001	38.173299527495	19.5258319779617	13.8972373948155
RARRES2 / CMKLR1	46.4523417181754	19.0923484339317	39.3448322985506	0	0	0	52.449237157167
EFNA4 / EPHA7	27.738741051465	35.0701950903167	6.52892885319233	42.3134978771544	75.0552260837677	29.9475582669906	6.73019697201344
IGF2 / ITGAV + ITGB3	82.3465713395294	61.8742003111422	32.1724412850699	45.2426500501945	78.8171394426874	60.2952481140717	100
ANGPTL3 / ITGAV + ITGB3	82.3465713395294	61.8742003111422	32.1724412850699	45.2426500501945	78.8171394426874	60.2952481140717	100
VTN / ITGAV + ITGB3	82.3465713395294	61.8742003111422	32.1724412850699	45.2426500501945	78.8171394426874	60.2952481140717	100
COMP / ITGAV + ITGB3	82.3465713395294	61.8742003111422	32.1724412850699	45.2426500501945	78.8171394426874	60.2952481140717	100
WNT3 / FZD1 + LRP5	32.7481756804544	55.9844472487617	10.9660195112577	48.6944903487094	78.4812378125966	27.9550976109391	48.4295913468324
WNT3 / FZD10 + LRP6	15.1553056624501	31.7628213834314	0	19.0205780889341	46.3819739226749	0	55.3304591189448
PDGFA / PDGFRB	4.31747350906102	20.3207085280538	2.85119396843657	5.76340424265293	13.5335660053391	4.43193626774905	63.0988156505038
VTN / ITGAV + ITGB1	90.7450116202149	65.2923114673747	35.1998541315857	64.1234904974697	86.9350588338371	57.5651858152235	94.0484708117752
EFNA1 / EPHA3	6.75845870826047	36.1868784241574	9.38574329828687	25.2582824929532	44.5445548056367	17.8831050618606	65.8029706462822
BMP2 / BMPR1A + BMPR2	33.6834196748328	42.3674407001044	0	57.7442548179308	64.6020160816474	46.4168086140781	48.2216790421834
BMP7 / BMPR1A + BMPR2	33.6834196748328	42.3674407001044	0	57.7442548179308	64.6020160816474	46.4168086140781	48.2216790421834
EFNA1 / EPHA4	65.8029706462822	20.1511952992088	6.91570962048288	6.77344638409909	33.4675763347377	17.1188312330983	12.184088331635
EFNA1 / EPHA7	24.3193133698272	30.7469997560449	5.72409059428835	37.0974015273014	65.8029706462822	26.2558438685031	5.90054786190134
VTN / ITGAV + ITGB8	19.5912571875763	39.8319755460787	0	29.9963315138894	36.4318716537869	66.7733997852624	27.3074369265626
LAMA3 / ITGAV + ITGB8	19.5912571875763	39.8319755460787	0	29.9963315138894	36.4318716537869	66.7733997852624	27.3074369265626
LAMB3 / ITGAV + ITGB8	19.5912571875763	39.8319755460787	0	29.9963315138894	36.4318716537869	66.7733997852624	27.3074369265626
LAMC2 / ITGAV + ITGB8	19.5912571875763	39.8319755460787	0	29.9963315138894	36.4318716537869	66.7733997852624	27.3074369265626
COL2A1 / ITGAV + ITGB8	19.5912571875763	39.8319755460787	0	29.9963315138894	36.4318716537869	66.7733997852624	27.3074369265626
BMP7 / ACVR1 + BMPR2	63.751116025257	38.2609702279045	8.70814343752837	55.8475696212232	64.6020160816474	34.3290841075255	37.7589671221763
RARRES2 / GPR1	52.449237157167	0	0	0	0	16.6087154012157	0
WNT3 / FZD7 + LRP6	26.8285907364662	42.2661633160427	2.92219296782479	57.6108679631454	38.4917087670569	61.7231509388414	38.5327186676149
FGF18 / FGFR1	68.3923278408103	55.0579395049628	8.45608550217202	50.6353413498552	35.6835005064096	32.0847183194851	30.7080564318596
COL2A1 / SDC1	20.4144034661617	38.6415228093108	10.6864443655802	0	58.810315001277	38.0559428799654	26.1141767147334
COMP / SDC1	20.4144034661617	38.6415228093108	10.6864443655802	0	58.810315001277	38.0559428799654	26.1141767147334
TGFA / EGFR	5.24866429304554	16.3982059008621	5.1819125884857	9.06096473115064	52.980636183066	5.01824836810246	38.1155513492914
PSAP / GPR37	6.48789709511504	21.9302398292209	13.8930333090257	0	42.240977383184	13.1677814689834	50.625654409385
SEMA3B / NRP1 + PLXNA2	61.1011081743832	10.9739963588915	5.1731485689305	11.9362102796804	16.4675592953991	15.7377721187464	18.121884789671
GAS6 / AXL	4.53807902704915	20.6649993564819	56.6338572215719	38.4293601260878	27.0518769140655	26.2210862898372	54.2681908097114
SCT / SCTR	13.5586823119577	12.8934414839342	0	0	6.48484808198557	0	52.1963870754955
WNT3 / FZD5 + LRP6	46.0511395945999	18.2963652257711	4.39109770185879	19.0229290508027	12.6436196006809	56.1410212946154	29.3381452666943
GAS6 / TYRO3	20.9734337559376	50.8664778168935	2.11377801808731	34.6472145547571	42.3714057237785	56.6338572215719	30.5743531891674
BMP7 / ACVR1 + ACVR2B	63.751116025257	41.281751691737	23.9209367849345	29.3437793837608	74.0398608552072	58.2318440017767	53.9421479998389
LAMA5 / SV2B	33.4168249909722	0	0	0	0	40.6932494577308	0
PROS1 / AXL	4.41089874812393	20.0858599526765	55.0466857080043	37.3523721074521	26.2937444022967	25.4862367977532	52.7473174175099
PROS1 / TYRO3	20.3856504363434	49.44093789171	2.05453910304771	33.6762216776407	41.1839413437436	55.0466857080043	29.7175028030503
NECTIN3 / PVR	61.0249037579189	22.1393584713617	0	29.7612259535215	33.6084857603373	28.3967286869335	26.757334873449
HLA-C / CD8B	3.38137699336407	12.8275719698126	50.997612629445	0	4.37519605892811	12.1449241260415	4.04985986417737
WNT3 / FZD2 + LRP6	36.5004474564398	50.5216304386837	8.25363669190485	57.5180422093885	50.5912087159944	57.8961526739102	38.2425068430111
IL34 / CSF1R	0.356596540339816	0.494636163822178	46.7684848576956	0	1.81732500203716	0	2.96052629406363
WNT3 / FZD3 + LRP5	38.4301512858042	40.5760400206146	12.0677007157121	58.9962477168677	58.9030726968506	56.0486212936826	36.5547480329406
SEMA4G / PLXNB2	100	92.712935760408	72.4923455647367	92.680029824859	98.3639786995004	53.380844803673	85.7613378614447
