Endothelial	Epithelial	Fibroblasts	Immune	Muscle	Myofibroblast_Mesothelium	Neural
MDK / LRP1	12.4582665307903	39.138465774669	80.602914994814	21.2083571979117	63.8400939696223	88.5717938001316	27.0232370702123
GDF11 / ACVR1B + ACVR2B	95.2333760096495	73.2488750203746	47.2496468508145	18.4966824681929	15.4426248296843	58.9125019524207	76.671555085645
NECTIN3 / PVR	57.3591309395062	92.9181236061555	20.8094447229786	0	27.9734657699768	31.5896202483656	26.6909340073492
MDK / SDC1	18.0814033435757	88.5717938001316	34.2254899038935	9.46517546804749	0	52.0893509361389	33.7068312563388
LAMC3 / ITGA6 + ITGB1	100	32.6926467501047	17.2423001415028	20.2886072221203	13.098427378202	29.1749630793922	34.1268964292662
COL9A1 / SDC4	6.98765166552006	91.0410139777116	13.4239532668446	28.9025739022047	19.2571183581354	18.4057665346998	6.79610385660422
COL9A1 / ITGA2 + ITGB1	91.0410139777116	30.281632043607	12.6947201919039	0	23.3744425106525	14.3649842195897	31.7013721203263
WNT6 / FZD5 + LRP5	46.1792129148346	100	25.9405863904139	13.3558567425069	29.0256522839271	19.6138210941644	31.4662684158247
SEMA5A / PLXNA1	54.5429949063391	57.9358963016245	96.1143519358088	19.4169141554821	56.5861702195431	96.0350515746375	94.366720946204
SEMA5B / PLXNA1	54.5429949063391	57.9358963016245	96.1143519358088	19.4169141554821	56.5861702195431	96.0350515746375	94.366720946204
HLA-E / KLRC1	0.413313804143358	1.21201593882441	0.907331349712948	77.1753945020557	0	1.39570370116814	0
NPPC / NPR2	14.5104732811245	27.5126278617987	45.649383770166	35.818074439304	100	61.967469399727	26.52279527282
MDK / SDC4	6.79813213215209	88.5717938001316	13.0598679516536	28.1186764526355	18.7348255679475	17.9065641628717	6.61177949510529
WNT11 / FZD8	43.95517172566	15.0235269050752	45.05803754489	3.55892097645831	0	78.5495842073195	50.9878094363909
COL9A1 / ITGA9 + ITGB1	61.8958467580761	15.068981915345	29.3416038997792	26.3219707232184	86.7921052935402	55.1913906175007	7.88144578982685
JAG1 / NOTCH2	13.5805062230846	24.7607867332495	65.1180166714562	40.7839911360725	100	57.572698592253	53.6342458621743
WNT11 / FZD6	78.5495842073195	7.9618449148794	2.80423204844987	0	10.0688457612982	1.97183940507475	1.36534502252602
WNT6 / FZD8 + LRP5	61.5758870645292	43.7334767274406	54.5715137625819	7.91523232243025	0	78.4812378125966	45.1571127072608
PDGFB / PDGFRA	7.92075154925852	4.44298499437892	48.8756705347054	4.46858362426242	4.61075738592604	73.0869670733212	6.25847267132198
WNT6 / FZD6 + LRP6	82.0864524544627	12.7308743570071	9.60222483169069	0	20.6263468822805	8.01565249817878	13.1840627214319
WNT6 / FZD6 + LRP5	82.3147439713433	31.8372033754532	13.6140342474035	0	31.4721865856653	12.4345384484522	7.38948538585692
IGF2 / ITGA6 + ITGB4	77.0810779543065	29.9946701180528	4.85782340439905	0	2.62733804416538	6.38120050276153	12.4563526353622
WNT11 / FZD4	78.5495842073195	3.19500268781997	17.0788036503465	0	23.1747083550461	9.29531199642536	3.12985098402016
TNFSF12 / TNFRSF12A	21.1283321832917	89.056535327939	24.6282581902306	8.36007305577371	52.235964228321	20.9233059858836	46.4179285234187
TGFB3 / ACVR1B + TGFBR2	95.2333760096495	37.696236696429	30.6577668356977	12.4623131147567	17.8156321307241	32.041021391204	42.3569553214373
WNT6 / FZD4 + LRP5	82.3147439713433	20.1680388229852	33.5976256954673	0	47.7467935738949	26.9976451389684	11.1880608366355
LAMC3 / DAG1	70.1201802065067	51.4067890292142	35.3724028952287	14.705602308876	48.2981593268633	43.3761637847832	100
MSTN / ACVR1B + ACVR2B	85.1351378981465	65.481802042929	42.2394476477998	16.5353542903727	13.8051390118869	52.665611446306	68.5415522224092
WNT11 / FZD7	8.39066992993347	18.9109180350012	54.3320211263518	4.48751691028725	78.5495842073195	45.4703358193181	29.9254071205815
WNT6 / FZD4 + LRP6	82.0864524544627	8.06467720342006	23.6970136754574	0	31.2924532298104	17.4034398301332	19.9613488760276
CSF1 / CSF1R	0.54105137095949	1.52644950569541	0.750494029771299	70.9601748402857	0	2.75736321752916	0
COL6A2 / ITGA11 + ITGB1	24.4335064400433	16.5997965884951	35.8925735823453	0	0	72.2563727991233	0
MDK / ITGA6 + ITGB1	88.5717938001316	28.9564636673081	15.2718145277316	17.969983353695	11.601512088481	25.8407881399438	30.2268043357141
RARRES2 / CMKLR1	61.0077034611842	5.10780671620541	25.0747387225726	51.6731293367889	0	0	0
PTN / PTPRZ1	0.637403508002176	0.443010504529874	6.03316964833673	0	3.89495514411168	0.513986856356435	70.6438192941383
LAMB2 / ITGA6 + ITGB4	73.1741724322521	28.4743703839742	4.61160140559589	0	2.49416967411302	6.05776512610068	11.8249941465175
NECTIN3 / NECTIN2	92.9181236061555	84.0461478987903	47.4514694515284	28.3662953714636	23.9602242803883	55.3582699205493	47.3413227876966
WNT11 / FZD1	12.4326254504891	9.34195555699288	47.4214752120711	6.83107479293331	24.1037993262686	78.5495842073195	19.5405169230048
WNT6 / FZD2 + LRP5	36.6019592439211	33.6475244283859	71.6295670100238	25.1040620697455	87.7624412498926	78.4812378125966	32.4499953558122
NECTIN2 / CD226	21.3453606084231	4.90935905237257	0	72.872634527261	0	5.66324205195487	23.4394097492522
RARRES2 / GPR1	68.8836641791468	1.11523181825112	0	0	0	0	21.8128849179656
EFNB3 / EPHB3	17.7830154632551	20.5673558128572	68.3869166308644	3.82430724000109	12.9495884900685	66.6331301796743	29.3882592607094
WNT6 / FZD7 + LRP5	26.9032040190708	49.0664187449966	59.9249658258252	8.88807157165007	87.9040770644586	59.7114998085734	34.5949751202393
WNT11 / FZD5	24.7218905866212	78.5495842073195	10.1812206363867	10.1329177173455	8.56425973653985	4.90610254511551	24.7573700564489
COL4A2 / ITGA10 + ITGB1	100	26.3811077464774	43.4955084592353	33.1567201547681	65.656696540737	66.3674982122006	38.2558525245771
COL6A3 / ITGA10 + ITGB1	100	26.3811077464774	43.4955084592353	33.1567201547681	65.656696540737	66.3674982122006	38.2558525245771
WNT6 / FZD10 + LRP5	15.1974542462299	24.8733356501071	45.0333277639009	0	29.0220651285762	71.9515271136876	0
IGF2 / IGF2R	77.0810779543065	75.0526611977524	18.970362389128	19.4934053569984	32.2890326184183	19.6002539468639	41.8648841433938
EFNB3 / EPHB1	68.3869166308644	0	0	0	0	0	7.04681349285494
ANGPTL4 / SDC2	11.7649613320482	18.3461452361734	40.8736168035636	14.5643004982146	17.9401960639848	83.7049319477437	27.8093311049601
COL4A1 / ITGA10 + ITGB1	98.6834425095162	26.0337852963686	42.9228650845912	32.7201928719717	64.7922883844257	65.4937319432412	37.7521922326164
THBS4 / CD47	42.0663227269832	36.9767669644023	32.3299307900023	66.9658737489918	28.7027774575702	52.7860850030972	100
LAMC3 / ITGAV + ITGB8	19.5912571875763	70.9605753675042	39.8319755460787	0	29.9963315138894	36.4318716537869	66.7733997852624
COL4A2 / ITGAV + ITGB8	19.5912571875763	70.9605753675042	39.8319755460787	0	29.9963315138894	36.4318716537869	66.7733997852624
COL6A3 / ITGAV + ITGB8	19.5912571875763	70.9605753675042	39.8319755460787	0	29.9963315138894	36.4318716537869	66.7733997852624
LAMA4 / ITGA6 + ITGB4	70.2264062008084	27.3273018939655	4.42582652841665	0	2.39369393388312	5.81373263645046	11.3486331946475
TGFB3 / ACVR1 + TGFBR1	51.255023716936	19.5071493514421	48.1562608055009	27.3346843861417	90.9801780197899	73.6864699090314	42.6586559948871
COL6A2 / SDC1	15.0635811850543	73.7889853603768	28.513187608789	7.8854188684628	0	43.3955347266838	28.081094120451
LAMB1 / SV2B	45.6091441231255	1.05221805030546	0	0	0	0	55.540413544894
COL4A1 / ITGAV + ITGB8	19.3333270235933	70.026338597213	39.3075646884192	0	29.601412564473	35.9522251186055	65.8942895887389
COL6A1 / ITGA11 + ITGB1	22.6839042366856	15.4111403161018	33.322425659535	0	0	67.0823340517089	0
LAMC1 / ITGA6 + ITGB4	68.8501669701204	26.7917639536103	4.33909282771709	0	2.34678429296187	5.69979989570711	11.1262320344272
COL6A2 / CD44	3.71157541374537	3.15658748527895	9.89370837699207	73.7889853603768	28.9125528005545	17.6373542658709	17.7133208750843
WNT11 / FZD10	2.67750515837213	4.8597278767014	30.6837440926555	0	8.56214302739713	66.022540861783	0
LAMB2 / CD44	3.68065041136275	3.1302866656481	9.81127358286171	73.174172432252	28.6716521951314	17.4903990886501	17.5657327408819
COL6A2 / SDC4	5.66351036662117	73.7889853603768	10.8801500313703	23.4256134610837	15.6079459413685	14.9179230111384	5.50826035511137
COL6A2 / ITGA2 + ITGB1	73.7889853603768	24.5433437736213	10.2891046734585	0	18.9450481806778	11.6428581357942	25.6940469035559
PTN / SDC1	14.4215142946116	70.6438192941383	27.2978475459127	7.54931244658912	0	41.5458526558157	26.8841715188032
WNT11 / FZD3	17.1211453936026	17.3502116118067	24.9103363296662	8.27256281986483	35.3813691309843	44.2474353268001	78.5495842073195
LAMB2 / ITGA2 + ITGB1	73.1741724322521	24.3388476014929	10.2033754207635	0	18.7871972427832	11.5458493523389	25.4799630245732
EFNB3 / EPHB6	18.1439490661612	8.1839754988187	64.9274317204406	17.8093075416101	27.4267266792036	68.3869166308644	35.1921017943966
LAMB2 / SV2A	18.3023001404568	11.3691617494709	17.5676793285059	0	36.3784719340522	27.886797531791	73.174172432252
TSLP / IL7R + CRLF2	0.839237990969926	0.53226616233026	0.512850017103705	62.8039091264966	0	0	0.712060597827857
COL9A1 / ITGA10 + ITGB1	91.0410139777116	24.0176279909456	39.5987519360491	30.1862142306531	59.774522274956	60.4216433240271	34.828516044193
JAM3 / ITGAM + ITGB2	1.26198044909077	1.24144326141399	1.08620679717481	62.8042703241977	0	0	2.59654148477231
LAMA4 / CD44	3.53237819137407	3.00418543319099	9.41603384193001	70.2264062008084	27.5166363564657	16.7858115805955	16.8581104735843
COL4A2 / ITGA1 + ITGB1	60.1873507115464	17.2242799379026	28.6350331901761	18.3551222449274	74.8959060033925	58.9181172522034	58.0395699257314
COL6A3 / ITGA1 + ITGB1	60.1873507115464	17.2242799379026	28.6350331901761	18.3551222449274	74.8959060033925	58.9181172522034	58.0395699257314
LAMC3 / ITGA1 + ITGB1	60.1873507115464	17.2242799379026	28.6350331901761	18.3551222449274	74.8959060033925	58.9181172522034	58.0395699257314
COL6A2 / ITGA9 + ITGB1	50.166749366587	12.2134501513724	23.7814484485073	21.3340276814945	70.3452335061778	44.7327697304714	6.387932895239
COL6A1 / SDC1	13.9849281928405	68.5052013203397	26.4714529937633	7.32077022662683	0	40.2881246887508	26.0703002842738
MSTN / ACVR1B + ACVR2A	69.3358318335001	78.9649718393779	56.7097864492708	19.7695223822415	23.6771996573314	52.3422618924204	69.1489756338879
COL4A1 / ITGA1 + ITGB1	59.3949496374298	16.9975123901982	28.2580365158083	18.1134665081244	73.9098583428391	58.1424263662675	57.2754456204296
PTN / SDC4	5.42211010161019	70.6438192941383	10.4163968233932	22.4271250799414	14.9426761629764	14.2820646238162	5.27347743367272
LAMC1 / CD44	3.46315355483643	2.94531188301107	9.23150617104656	68.8501669701204	26.9773879953569	16.456857079491	16.5277391183611
LAMB2 / ITGA9 + ITGB1	49.7487579018455	12.1116871712555	23.583300420258	21.156271665966	69.7591140632782	44.3600544125035	6.33470836980603
COL9A1 / ITGAV + ITGB8	17.8360791945507	64.6032273389941	36.2634344245042	0	27.3089643663608	33.1679453646661	60.791180231894
COL6A1 / CD44	3.44580183197346	2.93055474483346	9.1852527970187	68.5052013203397	26.8422209712414	16.3744019360163	16.4449288287819
LAMA4 / ITGA2 + ITGB1	70.2264062008084	23.3583755211512	9.79234015364218	0	18.0303692012086	11.080733537525	24.4535219718669
LAMA4 / SV2A	17.5650058121645	10.9111636611981	16.8599786443971	0	34.9129926870132	26.7633989700454	70.2264062008084
COL1A2 / ITGA11 + ITGB1	20.9300299285081	14.2195816329887	30.7460020579975	0	0	61.8956615548469	0
MDK / SDC2	10.4204372916869	16.2495099288561	36.2024955939083	12.8998622057102	15.8899534651319	74.138959725296	24.6312234034811
BMP6 / BMPR1A + ACVR2A	22.2687183287418	34.9436709885373	49.8200672544565	0	42.2415906146863	59.7339327328787	64.4815662963281
NECTIN1 / CD96	1.6583000432524	2.62837607882865	2.4007454787169	61.0048963215833	0	0	3.90246742143578
NECTIN1 / CADM3	0	0.233308642932857	5.64618190356873	0	0	11.4801286436386	61.0048963215833
LAMC1 / ITGA2 + ITGB1	68.8501669701204	22.9006173288065	9.60043794179971	0	17.6770248855741	10.8635824539919	23.9743020019607
LAMC1 / SV2A	17.2207813046931	10.697335668348	16.5295706783019	0	34.2287966303448	26.238911934445	68.8501669701204
COL6A1 / SDC4	5.2579652091754	68.5052013203397	10.1010586424835	21.7481831247097	14.4903127978851	13.849700116735	5.1138321350923
APELA / APLNR	60.8281993261809	1.56532435242163	2.92724507953543	1.74789931073058	3.41819354136003	2.24658935710781	1.11587617774157
COL6A1 / ITGA2 + ITGB1	68.5052013203397	22.7858764837967	9.55233607860147	0	17.5884562350654	10.8091517540371	23.8541815863961
JAM3 / F11R	25.4497669849976	62.8042703241976	7.63617839401865	9.32211846179816	1.43937017678912	3.78282171296114	2.15234161521667
PTN / SDC3	35.0035482372947	9.64277340340079	22.5678999397692	13.5376590731056	50.3413403292575	18.7679900499514	70.6438192941383
EFNB3 / EPHB4	68.3869166308644	12.8883293233589	19.1908718236599	1.96879079203274	12.9338331888884	15.0079214061702	7.83232542308426
SEMA4A / NRP1 + PLXNA3	80.8056319713985	13.8537514590005	33.2207401270078	29.3676033625235	23.1343535898803	25.7396548632247	45.7948458279549
COL1A1 / ITGA11 + ITGB1	20.3061085253144	13.7956977993015	29.8294678336248	0	0	60.0505601316375	0
BMP6 / BMPR1A + ACVR2B	27.343010902141	28.9770830410603	37.1077419677276	0	24.6292230060406	60.102945072099	63.9151426780726
LAMA4 / ITGA9 + ITGB1	47.744666789847	11.6237770075664	22.6332649870703	20.3040072517982	66.9489208771298	42.5730431477946	6.07951943089666
NECTIN1 / NECTIN4	3.96871003314697	61.0048963215833	2.73025051477032	0	0	7.49641542730878	6.72940228419143
WNT6 / FZD1 + LRP5	32.7481756804544	34.4863278982149	55.9844472487617	10.9660195112577	48.6944903487094	78.4812378125966	27.9550976109391
EFNB3 / EPHA4	68.3869166308644	11.2767732142561	20.9424908845983	7.187275173358	7.03942555516201	34.7817785452838	17.7910521798285
LAMB2 / ITGA6 + ITGB1	73.1741724322521	23.9225737055887	12.6169104368297	14.8460204328166	9.58466583563883	21.3485377907603	24.9720740389273
LAMC1 / ITGA9 + ITGB1	46.8090061595077	11.395983805664	22.1897169133629	19.9061060514977	65.6369111026318	41.7387317353292	5.9603780196075
JAM3 / JAM2	62.8042703241976	2.53804971304201	13.2277912695728	3.92586525469594	8.42191123105921	6.57934851289372	6.59731443043227
COL6A1 / ITGA9 + ITGB1	46.5744751491121	11.3388855714634	22.0785379511275	19.8063688524341	65.3080450927941	41.5296047375639	5.93051424778303
SEMA4A / NRP1 + PLXNA1	73.8532293852741	14.0789467210592	43.6291980070414	13.4986526374909	22.2313479093699	32.5169425878765	44.4862741092611
COL1A2 / SDC1	12.9036413912738	63.208515559431	24.4247329573243	6.75474284956772	0	37.1731271081326	24.0545965765711
TGFB3 / TGFBR1 + TGFBR2	80.3986297222307	14.1375880844398	22.7505052817612	31.9173213553016	37.2091185795155	29.6723696013308	39.7624794366524
CD99 / CD99	88.7287439879482	38.0621027330986	81.6282013680033	39.6602861976095	73.5786409541646	82.759833793856	55.3687902563331
