Endothelial	Epithelial	Immune	Muscle	Myofibroblast_Mesothelium	Neural	Pericytes
COL1A1 / ITGA9 + ITGB1	67.9867721741646	16.5518608119129	28.9122117309265	95.3329730211357	60.6225570279923	8.65702769057072	24.6999030041946
COL1A2 / ITGA9 + ITGB1	67.9867721741646	16.5518608119129	28.9122117309265	95.3329730211357	60.6225570279923	8.65702769057072	24.6999030041946
COL6A2 / ITGA9 + ITGB1	67.9867721741646	16.5518608119129	28.9122117309265	95.3329730211357	60.6225570279923	8.65702769057072	24.6999030041946
COL6A6 / ITGA9 + ITGB1	67.9867721741646	16.5518608119129	28.9122117309265	95.3329730211357	60.6225570279923	8.65702769057072	24.6999030041946
COL6A1 / CD44	4.65755227636511	3.96111343263015	92.5957358870124	36.2815546231516	22.1326230381427	22.2279514133548	3.57626963191411
COL6A1 / SDC1	18.9028671164362	92.5957358870124	9.89519180046518	0	54.4558439529025	35.238180358445	24.1806140998422
WNT11 / FZD6	86.0365346929102	8.72072784536472	0	11.0285573934174	2.15978519931812	1.49548282888817	0
CCL2 / ACKR1	85.8480664701042	5.49276918640846	0	4.52923032856266	3.15101293955877	3.32092230592949	3.39705246903804
RARRES2 / GPR1	83.1291832117512	1.34586786646343	0	0	0	26.3239089896054	0
HLA-E / CD8B	4.33075901465917	73.0270244534788	65.3161037809443	0	5.60361054395571	15.5548286229032	5.18693039827047
WNT11 / FZD8	48.1447571654386	16.4554937727847	3.89813938737373	0	86.0365346929102	55.847710459055	31.4819124612021
WNT11 / FZD2	17.0112533534851	9.7406770381798	39.2119130896248	85.75950459771	86.0365346929102	28.8391409515352	41.100496501036
SEMA3D / NRP1 + PLXNA2	100	16.27773248858	8.46653804406669	19.5351780619335	26.9513267229139	25.7569340212794	29.6588479834947
WNT9A / FZD10 + LRP5	15.1974542462299	24.8733356501071	0	29.0220651285762	71.9515271136876	0	72.9244221238592
WNT9A / FZD8 + LRP6	61.405112644504	17.487886446754	2.60234585701149	0	50.5912087159944	80.5677493307951	33.4698196681879
FGF10 / FGFR1	100	17.7181323979536	12.3640849334071	74.0365812196272	52.1747126219571	46.912744941458	44.8998555851697
COL6A1 / SDC4	7.10698090697168	92.5957358870124	29.3961477643318	19.5859752382743	18.7200847440288	6.91216200558676	8.66068286727396
WNT9A / FZD3 + LRP6	38.3235691948237	18.7933310090191	3.96758170599669	38.665158102339	37.9705739597989	100	27.7354407855939
EFNA3 / EPHA1	2.24219578529929	84.8637667366543	0	5.41306442860503	5.48120662363925	8.04761410750145	13.3222683568068
COL6A1 / ITGA2 + ITGB1	92.5957358870124	30.7987563014619	0	23.7736115917208	14.610297345149	32.2427415058038	11.4143411409983
WNT11 / FZD4	86.0365346929102	3.49953424156954	0	25.383604757531	10.1812942885998	3.42817260572077	26.2824484397747
PTN / SDC3	43.6749171802201	12.0315611127801	16.8913201262832	62.8123141893093	23.417352021401	88.1442914315359	6.98718484035408
FGF2 / FGFR3	15.8498048075436	90.2708312100093	8.36122803859892	12.7625541484214	12.4918986281745	5.53871450270639	12.8737840795902
PTN / SDC1	17.9941312852231	88.1442914315359	9.41949066526597	0	51.8379354465299	33.5441411991355	23.0181560283808
CXCL6 / ACKR1	81.8902795596337	5.23954030331214	0	4.32042273107141	3.00574423078416	3.16782039724906	3.24044079041832
LAMB1 / ITGA6 + ITGB4	83.0584397583446	32.3206494666376	0	2.83107870903776	6.87603977021088	13.4222982141771	4.77471234190822
ANGPTL2 / TLR4	36.3219429512792	1.90346194561264	76.6583271077154	0	0.878686746550953	1.48826317615277	0
TNXB / ITGA2B + ITGB3	33.0124791434935	12.0850741172981	0	82.2863695168272	34.9549690543762	0	48.6610569682352
COL6A1 / ITGA9 + ITGB1	62.9528520004943	15.3263173217848	26.7714752134625	88.2742679118876	56.1339027935933	8.0160384960264	22.8710569501123
MDK / LRP1	13.8245614806321	43.4307714498064	23.5342723854165	70.8414209818952	98.2854400982309	29.9868686674459	48.4041140056225
WNT2B / FZD9 + LRP6	65.7339725127542	19.3149804465229	0	0	0	63.7868685942332	33.4482798357186
WNT9A / FZD6 + LRP5	82.3147439713433	31.8372033754532	0	31.4721865856653	12.4345384484522	7.38948538585692	0
EFNA3 / EPHA3	8.71614545185478	7.82077477993408	12.1044615781481	32.5747146762226	57.4475387856557	23.0632088732693	84.8637667366543
GDF6 / BMPR1A + ACVR2A	27.4324794651241	43.0465517897306	0	52.0367427529916	73.5852804312869	79.4338146088989	73.6018431120849
PTN / SDC4	6.76532013339005	88.1442914315359	27.9829582937327	18.6443996889865	17.8201359867606	6.57986694966031	8.24432947517812
MDK / ITGA6 + ITGB1	98.2854400982309	32.1321117381004	19.9407468980623	12.873846994613	28.674740861077	33.5417703473717	19.4506506399726
GDF6 / BMPR1A + ACVR2B	33.6834196748328	35.696407119089	0	30.3403475844919	74.0398608552072	78.7360463742403	68.8890916766227
EFNA3 / EPHA7	31.3637593674384	5.01943959212214	7.38215743456877	47.8432082750778	84.8637667366543	33.8612343431725	7.60972813921359
CD99 / PILRA	10.0803575981503	12.1255973899711	81.6282013680033	0	5.18364204989593	4.30236907151001	5.94666533311824
WNT9A / FZD5 + LRP5	46.1792129148346	100	13.3558567425069	29.0256522839271	19.6138210941644	31.4662684158247	38.6670800103117
COL1A1 / ITGA10 + ITGB1	100	26.3811077464774	33.1567201547681	65.656696540737	66.3674982122006	38.2558525245771	90.6391717614165
COL1A2 / ITGA10 + ITGB1	100	26.3811077464774	33.1567201547681	65.656696540737	66.3674982122006	38.2558525245771	90.6391717614165
COL6A2 / ITGA10 + ITGB1	100	26.3811077464774	33.1567201547681	65.656696540737	66.3674982122006	38.2558525245771	90.6391717614165
COL6A6 / ITGA10 + ITGB1	100	26.3811077464774	33.1567201547681	65.656696540737	66.3674982122006	38.2558525245771	90.6391717614165
EFNA3 / EPHA2	42.0735183426941	84.8637667366543	8.28915438052398	6.47184179403337	6.95442645998644	22.72651587519	15.2426516425188
WNT9A / FZD6 + LRP6	82.0864524544627	12.7308743570071	0	20.6263468822805	8.01565249817878	13.1840627214319	0
LAMB1 / CD44	4.17782764467529	3.55312151546092	83.0584397583446	32.5445798355473	19.8529783223589	19.9384879415003	3.20791635744858
ANGPTL1 / ITGA1 + ITGB1	60.1873507115464	17.2242799379026	18.3551222449274	74.8959060033925	58.9181172522034	58.0395699257314	94.0484708117752
COL1A1 / ITGA1 + ITGB1	60.1873507115464	17.2242799379026	18.3551222449274	74.8959060033925	58.9181172522034	58.0395699257314	94.0484708117752
COL1A2 / ITGA1 + ITGB1	60.1873507115464	17.2242799379026	18.3551222449274	74.8959060033925	58.9181172522034	58.0395699257314	94.0484708117752
COL6A2 / ITGA1 + ITGB1	60.1873507115464	17.2242799379026	18.3551222449274	74.8959060033925	58.9181172522034	58.0395699257314	94.0484708117752
COL6A6 / ITGA1 + ITGB1	60.1873507115464	17.2242799379026	18.3551222449274	74.8959060033925	58.9181172522034	58.0395699257314	94.0484708117752
TNXB / SDC1	16.7982714708218	82.2863695168272	8.79348709887151	0	48.3928731159609	31.314853781321	21.4884079477627
WNT11 / FZD7	9.190426299624	20.7134114332021	4.9152444055964	86.0365346929102	49.8043390642479	32.7777461066363	41.7266640643272
WNT9A / FZD8 + LRP5	61.5758870645292	43.7334767274406	7.91523232243025	0	78.4812378125966	45.1571127072608	44.1125430144258
EFNA3 / EPHA4	84.8637667366543	13.9937505409459	8.9189463984215	8.73547452794057	43.1619509486813	22.0775519144724	15.7133883154419
FGF2 / FGFR1	90.2708312100093	15.9943053905227	11.1611622408981	66.8334372664311	47.0985467652743	42.3485248020857	40.5314728488265
WNT11 / FZD5	27.0782566017957	86.0365346929102	11.0987363653997	9.38056181172304	5.37372751351206	27.1171177958749	24.1890978531373
WNT2B / FZD9 + LRP5	65.9167859715749	48.3026494036829	0	0	0	35.7516604134807	44.0841539524067
HLA-E / KLRC1	0.391097155730553	1.14686705748136	73.0270244534788	0	1.32068114419942	0	0
WNT9A / FZD4 + LRP5	82.3147439713433	20.1680388229852	0	47.7467935738949	26.9976451389684	11.1880608366355	40.3055128866223
WNT11 / FZD1	13.6176406493988	10.2323836782824	7.48217841434868	26.4012519976167	86.0365346929102	21.4030205141028	37.9453467802855
TNXB / SDC4	6.3157082932383	82.2863695168272	26.1232577735401	17.4053241260553	16.63583960835	6.14258001735545	7.69642515238671
LAMB1 / ITGA2 + ITGB1	83.0584397583446	27.6265059118744	0	21.3249462009641	13.1054469222461	28.9217616486302	10.2386719751074
GDF10 / ACVR1B + ACVR2A	77.560047554528	88.3313405067566	22.1144688907608	26.4856522640492	58.5507985429004	77.35102755225	79.418631509012
MDK / ITGA4 + ITGB1	15.0240625185932	7.43236921061243	60.9941301258518	18.5164136246455	54.859041111747	30.5692709425726	77.8279316736828
NECTIN1 / CD96	1.96407170467674	3.11301872461619	72.253505147936	0	0	4.62203801540769	0
WNT9A / FZD4 + LRP6	82.0864524544627	8.06467720342006	0	31.2924532298104	17.4034398301332	19.9613488760276	30.5812849535315
NECTIN1 / CADM3	0	0.276328102327141	0	0	13.5969337556048	72.253505147936	3.20534148341904
COL6A1 / ITGA10 + ITGB1	92.5957358870124	24.4277808529964	30.7017090233048	60.795301320998	61.453473359387	35.4232881649824	83.9280080943767
LAMB1 / SV2A	20.774549859962	12.9048925991692	0	41.2924262646439	31.653708075645	83.0584397583446	27.8001839827988
EFNB3 / EPHB1	70.8624051859942	0	0	0	0	7.30189600002304	0
LAMB1 / ITGA9 + ITGB1	56.4687522099215	13.7477173413478	24.0140319633366	79.1820799665989	50.3521500090631	7.19039212923589	20.5153540571085
WNT11 / FZD3	18.7530466838777	19.0039463395332	9.06106181507013	38.7537429184371	48.4648778600638	86.0365346929102	21.6184477117178
NECTIN1 / NECTIN4	4.70049501107336	72.253505147936	0	0	8.87866914506157	7.97022750469513	0
TNXB / ITGA9 + ITGB1	55.9438465737965	13.6199253496016	23.7908093803977	78.4460424515489	49.8841012866031	7.12355379463708	20.3246534563295
CD99 / CD99L2	74.3734284940155	17.2784238545039	30.0408107241843	35.4094277250783	81.6282013680033	79.1400307094286	59.297921299782
COL6A1 / ITGA1 + ITGB1	55.7309203022534	15.9489487597399	16.9960605156513	69.3504153130864	54.5556642404505	53.7421668783881	87.0848736386454
TNC / ITGA2B + ITGB3	28.9737515114653	10.6065931295332	0	72.2195025947048	30.6785983285374	0	42.7078913629783
EFNA4 / EPHA1	1.91829486568847	72.6045999556535	0	4.6311092765023	4.68940785316002	6.88507976184668	11.3977731809781
CCL19 / CCR7	0	1.22146903938081	68.2718045621725	0	0	2.49168139223972	0
BMP6 / BMPR1A + ACVR2A	24.0832113934383	37.7909407652583	0	45.68350730161	64.6011552227768	69.7356340481505	64.6156957437459
FN1 / ITGA4 + ITGB7	1.39687698122695	1.42676675139397	69.4842123511161	0	4.24457520648303	0	10.1863721627906
TNXB / ITGA8 + ITGB1	25.6986554699075	10.9080657484975	12.4730446610395	31.0838542160069	80.5772645206612	10.3262546495406	45.0219656304786
BMP6 / BMPR1A + ACVR2B	29.5709659607769	31.3381850783193	0	26.6360540087771	65.000235315355	69.1230572695814	60.4783304279618
NCAM1 / NCAM1	3.81552603222589	4.3140995144833	2.69581580824207	50.6818651116644	32.5310062818358	62.3140017343828	5.14348647902356
GUCA2B / GUCY2C	6.16243963829071	71.2231730350039	9.32755716445074	1.86187531373797	3.26388733275019	3.48533364860961	3.10514339350598
COL1A1 / ITGAV + ITGB8	19.5912571875763	70.9605753675042	0	29.9963315138894	36.4318716537869	66.7733997852624	27.3074369265626
COL1A2 / ITGAV + ITGB8	19.5912571875763	70.9605753675042	0	29.9963315138894	36.4318716537869	66.7733997852624	27.3074369265626
COL6A2 / ITGAV + ITGB8	19.5912571875763	70.9605753675042	0	29.9963315138894	36.4318716537869	66.7733997852624	27.3074369265626
COL6A6 / ITGAV + ITGB8	19.5912571875763	70.9605753675042	0	29.9963315138894	36.4318716537869	66.7733997852624	27.3074369265626
WNT9A / FZD7 + LRP5	26.9032040190708	49.0664187449966	8.88807157165007	87.9040770644586	59.7114998085734	34.5949751202393	50.7853411383485
COL9A1 / ITGA11 + ITGB1	23.4337173598111	15.9205532959297	0	0	69.2997307518994	0	33.5622427204626
EFNB3 / EPHB6	18.8007287613269	8.48022131133491	18.453973790156	28.4195269302446	70.8624051859942	36.4659952452921	70.361373297868
FN1 / ITGA2B + ITGB3	27.8763800677123	10.2048718539417	0	69.4842123511161	29.5166563643847	0	41.0903438256463
EFNA4 / EPHA3	7.45703706095187	6.69100896737741	10.355887139528	27.8690684927515	49.1488385722091	19.7315664662119	72.6045999556535
EFNA4 / EPHA7	26.8330441782606	4.29434631058146	6.3157529762937	40.9319210186166	72.6045999556535	28.9697413634694	6.51044949528792
THBS1 / CD47	42.0663227269832	36.9767669644023	66.9658737489918	28.7027774575702	52.7860850030972	100	36.872556394086
THBS2 / CD47	42.0663227269832	36.9767669644023	66.9658737489918	28.7027774575702	52.7860850030972	100	36.872556394086
WNT2B / FZD10 + LRP5	12.1699623971411	19.9183070170035	0	23.2405661882331	57.6180303097591	0	58.3971144575591
NECTIN3 / PVR	47.513244259917	76.9684168982361	0	23.1717268053988	26.1671562723215	22.1093459096161	20.8329339220236
WNT9A / FZD2 + LRP5	36.6019592439211	33.6475244283859	25.1040620697455	87.7624412498926	78.4812378125966	32.4499953558122	50.4028478437014
TNC / SDC1	14.7431806409382	72.2195025947048	7.71769696588189	0	42.4725169683013	27.483812655636	18.8595285300827
WNT2B / FZD8 + LRP6	49.172571916853	14.0041165457212	2.08393134212213	0	40.5129107628209	64.5178109367429	26.8022815006655
EFNA4 / EPHA2	35.9957032955828	72.6045999556535	7.09172784701124	5.53693881972269	5.94981074331975	19.4435111350212	13.0407436215115
LAMB1 / ITGA6 + ITGB1	83.0584397583446	27.1540023063441	16.8514006073919	10.8793494132144	24.2322691338162	28.3452677120947	16.4372331530095
WNT2B / FZD3 + LRP6	30.6891133520562	15.049502896416	3.17719792981399	30.9626541762224	30.4064384601289	80.0789540140257	22.210250872283
COL9A1 / CD44	3.55970230546979	3.02742380153492	70.7696306891288	27.7294866433264	16.9156553872235	16.9885135360716	2.73329304714567
NECTIN3 / NECTIN1	36.3415911438796	76.9684168982361	16.5087456158389	0	37.8856998376409	32.5511254077169	46.954502929133
SEMA3D / NRP2 + PLXNA2	72.2138174966211	16.5171057651485	15.050521437046	66.1008021453085	22.528623716512	26.4462019001476	22.0150695699307
LAMB1 / ITGA7 + ITGB1	20.7457179612358	11.2034835075511	9.86397998982378	26.5746643874008	10.5039247459008	21.0105198017572	78.1151924728427
EFNB3 / EPHB2	33.5261727024466	70.8624051859942	32.6362445176875	48.8321927525921	59.3772498975487	17.4835422187021	1.29710519225185
COL9A1 / SDC1	14.4471979403913	70.7696306891288	7.56275721132033	0	41.6198427335171	26.9320502314173	18.4809064185233
ANGPTL2 / ITGA5 + ITGB1	76.6583271077154	8.8353008802749	19.0845476205592	42.0204304974504	39.2518075448111	7.9352336663105	27.1589243261248
THBS1 / ITGAV + ITGB3	82.3465713395294	50.3540325648725	32.1724412850699	45.2426500501945	78.8171394426874	60.2952481140717	100
THBS2 / ITGAV + ITGB3	82.3465713395294	50.3540325648725	32.1724412850699	45.2426500501945	78.8171394426874	60.2952481140717	100
FN1 / CD44	3.49504594684872	2.97243543952801	69.484212351116	27.2258244044829	16.6084092786525	16.6799440745356	2.68364710478663
TNC / SDC4	5.54304818828649	72.2195025947048	22.9273535050361	15.2759668249342	14.6006205987085	5.39110032568476	6.75484894432094
EFNA4 / EPHA4	72.6045999556535	11.9722550503495	7.63054198728629	7.47357391632239	36.9269041717072	18.8882945736382	13.4434790778352
NRG3 / ERBB2 + ERBB4	0	11.3093762926252	0	37.0560193315112	0	58.487448943796	37.181510408219
FN1 / SDC1	14.1847874546414	69.484212351116	7.42539169576364	0	40.8638841598476	26.4428721629346	18.145230002211
COL6A3 / ITGA11 + ITGB1	21.7666440755996	14.7879660643782	0	0	64.3697519540125	0	31.1746267337024
COL6A1 / ITGAV + ITGB8	18.1406687623535	65.7064669511986	0	27.7753239043937	33.7343596552358	61.8293209079405	25.2855221740325
NCAM1 / NCAM2	0	0.801635027912858	0	22.0725830385495	1.10012197960486	62.3140017343828	1.62266877337165
LAMB1 / ITGA1 + ITGB1	49.9906744328934	14.3062181760314	15.2454781523736	62.2073709692942	48.9364689246722	48.2067612227659	78.1151924728427
WNT2B / FZD6 + LRP5	65.9167859715749	25.494899450381	0	25.2025978231433	9.95744832599237	5.91742260401351	0
COL9A1 / SDC4	5.43176647696604	70.7696306891288	22.4670661239014	14.9692879593336	14.3074999200901	5.28286910528689	6.61923923560081
NCAM1 / L1CAM	0	1.01063879042302	2.44161910437863	1.01276757929551	0.58620769937697	62.3140017343828	1.21969261417743
EFNB3 / EPHA4	70.8624051859942	11.6849729753503	7.44744215135254	7.29424063171464	36.0408190015258	18.4350576157309	13.1208940219334
WNT4 / FZD9 + LRP6	51.7778010549899	15.2141606038953	0	0	0	50.2440924493368	26.346777971306
WNT2B / FZD5 + LRP5	36.9798306741094	80.0789540140257	10.6952303790113	23.2434387447169	15.7065427743892	25.1978586146381	30.964193220024
COL9A1 / ITGA2 + ITGB1	70.7696306891288	23.5390602845746	0	18.1698400728284	11.1664466778062	24.6426780554463	8.7238218841293
TNC / ITGA9 + ITGB1	49.0997086943768	11.9536715485314	20.880255501203	68.8489989246083	43.7813091458073	6.25206233761603	17.8381470910039
EFNB3 / EPHB4	70.8624051859942	13.3548646389798	2.04005762658575	13.4020156660408	15.551182303248	8.11584210873268	17.3437533671004
ANGPTL4 / CDH11	6.31962991244136	5.14228505069791	5.47510258765967	45.9447295306506	53.5864058497438	10.618561930547	48.6721823645524
WNT2B / FZD6 + LRP6	65.7339725127542	10.1947510219311	0	16.5173628346348	6.41885067794068	10.5576595238757	0
FN1 / SDC4	5.33310703548944	69.484212351116	22.058987425231	14.6973945346746	14.0476268277861	5.18691414891462	6.49901123081568
GDF6 / BMPR1A + BMPR2	33.6834196748328	18.5884856995467	0	57.7442548179308	64.6020160816474	46.4168086140781	48.2216790421834
LAMA4 / SV2B	41.8801164651908	0.966188148030281	0	0	0	50.9994000656029	0
TNFSF12 / TNFRSF12A	17.4005842858836	73.3439694027544	6.88507519576833	43.0197845444748	17.2317316004059	38.2282458757724	18.744237693452
PF4 / CXCR3	0	0.123815478680582	60.0408336722298	0	0	0	0
EFNB1 / EPHB1	60.6904173288277	0	0	0	0	6.25374081461017	0
BMP7 / BMPR1A + ACVR2A	21.3552009905765	33.5101960648383	0	40.5087371631077	57.2835005875383	61.8363746003283	57.2963940402731
COL9A1 / ITGA9 + ITGB1	48.1139875851156	11.7136907687694	20.4610654660357	67.4667929320245	42.9023597230167	6.12654652527251	17.4800301366415
