Topic	umass_coherence	cv_coherence	nmi	Raw_accuracy	Norm_accuracy	NormBySD_accuracy	Bayes_accuracy	BayesNorm_accuracy
8	-0.28333729313881095	0.5779887360046608	0.6801476291635843	0.7910416666666666	0.8045833333333333	0.7954166666666667	0.7664583333333334	0.7945833333333333
9	-0.4050286506349463	0.5382149117005555	0.6813140088895552	0.80625	0.8316666666666667	0.8304166666666667	0.8252083333333333	0.85
10	-0.3638110024596159	0.48942698031048515	0.6289657770612007	0.7327083333333333	0.8120833333333334	0.79875	0.761875	0.7635416666666667
11	-0.49065579113574403	0.5650959467190029	0.6571958144034981	0.6716666666666666	0.740625	0.745625	0.75625	0.7735416666666667
12	-0.49628214108711016	0.5362829142923121	0.6166621386310629	0.671875	0.7439583333333334	0.7485416666666667	0.7816666666666666	0.795625
13	-0.7942332825272882	0.5283838136438773	0.6671044870271913	0.76	0.8275	0.8220833333333334	0.8241666666666667	0.841875
14	-0.571143127342429	0.5348945031134156	0.6582092468343561	0.8858333333333334	0.905625	0.910625	0.8575	0.8952083333333334
15	-0.4881645298010715	0.5492759075246201	0.6798940933480938	0.8333333333333334	0.8627083333333333	0.8672916666666667	0.8577083333333333	0.8845833333333334
16	-0.6386595419123374	0.5428482127755598	0.7344654268117001	0.8795833333333334	0.8970833333333333	0.8997916666666667	0.9010416666666666	0.9129166666666667
17	-0.5987215419099421	0.49347684809871806	0.68898580502373	0.8360416666666667	0.8695833333333334	0.864375	0.8658333333333333	0.8889583333333333
18	-0.5650822012977592	0.5235291074065612	0.716044841753651	0.8566666666666667	0.8945833333333333	0.9022916666666667	0.8666666666666667	0.8929166666666667
19	-0.6309441165763744	0.5488312243373347	0.7077341157620463	0.8864583333333333	0.91125	0.9164583333333334	0.9016666666666666	0.9247916666666667
20	-0.6751656402341221	0.4541203231410309	0.6738981984698706	0.8729166666666667	0.8841666666666667	0.8825	0.8927083333333333	0.9102083333333333
21	-0.7393874985429777	0.47907673656422045	0.6925272526517129	0.871875	0.9025	0.9039583333333333	0.88625	0.908125
22	-0.6843648298090258	0.5292002401747968	0.6459746814071	0.8683333333333333	0.889375	0.896875	0.8641666666666666	0.8889583333333333
23	-0.5494316700866344	0.5220139886544405	0.6522327969932153	0.8872916666666667	0.906875	0.909375	0.90125	0.92
24	-0.6500963544481946	0.4907729931727441	0.6730154871805178	0.8597916666666666	0.894375	0.8966666666666666	0.8947916666666667	0.9133333333333333
