node1	node2	node1_type	node2_type	node1_prize	node2_prize	node1_pem	node2_pem	is_ct_edge	cost
Vim	Plp1	Neural	Neural	0.02403596052330205	0.030084908665455958	0.3481024159298193	0.8688218281019667	FALSE	0.9097679165666107
Hla-e	Dusp1	Endothelial	Endothelial	0.03629577884278771	0.01022467438849791	0.2602227969967942	0.25406573838438884	FALSE	0.8798042897533267
S100b	Plp1	Neural	Neural	0.027161710492094242	0.030084908665455958	0.8506970057802938	0.8688218281019667	FALSE	0.8876092982997964
Ewsr1	Rock2	Endothelial	Endothelial	0.007004595956750188	0.013641732025787095	0.11017554984232197	0.2530232455962801	FALSE	0.8884397365876283
Col4a2	Col4a1	Endothelial	Endothelial	0.0327984934770597	0.05931515314960636	0.22315668955054294	0.38295894041073786	FALSE	0.9017285015553118
Vim	Mpz	Neural	Neural	0.02403596052330205	0.11202725668751681	0.3481024159298193	0.8761731569541686	FALSE	0.8878468391111569
Yy1	Prrc2b	Endothelial	Endothelial	0.00990491386277453	0.01760183961163474	0.11474090084594922	0.2532930379531593	FALSE	0.9360746218387687
Ctnnd1	Sun1	Endothelial	Endothelial	0.010730172275213242	0.009949154441936411	0.2320315234639346	0.17515891696875802	FALSE	0.8718142584055775
Prph	Vim	Neural	Neural	0.02306779776992114	0.02403596052330205	0.8260616767996473	0.3481024159298193	FALSE	0.8899755691694374
Dync1h1	Luzp1	Endothelial	Endothelial	0.007221444796281544	0.022921899679120308	0.14953572517729838	0.5034540378672356	FALSE	0.8833107410431559
Spry4	Cd46	Endothelial	Endothelial	0.023629840100661582	0.008185592195005018	0.43566477525148295	0.05564444243583487	FALSE	0.9149452690169398
Notch1	Sf3b1	Endothelial	Endothelial	0.06324144803538113	0.008442463767355638	0.4460160697207689	0.15158502080738404	FALSE	0.9029976306754524
C2cd4b	Dusp1	Endothelial	Endothelial	0.02758926817048049	0.01022467438849791	0.844920725423219	0.25406573838438884	FALSE	0.943794635845812
Arpc5l	Eny2	Endothelial	Endothelial	0.013271170317450409	0.008033637625367409	0.40191945329960127	0.16403832342159858	FALSE	0.8998355585975875
Grn	Arpc1b	Endothelial	Endothelial	0.013966199796137025	0.010734521861863001	0.08882371281260835	0.2303420071578614	FALSE	0.9116159631004593
Mmrn2	Tie1	Endothelial	Endothelial	0.04626278359866128	0.037582115679399224	0.8692302177882916	0.870362599815591	FALSE	0.8731794496370129
Sema3b	Plxna2	Neural	Endothelial	0.08313301662216148	0.03650309116464265	0.627032120620765	0.2961497105129825	TRUE	0.896236998528355
Tns2	Tspan14	Endothelial	Endothelial	0.00705759710699372	0.018642011687513407	0.18165802294524955	0.41054888828871455	FALSE	0.9085204048695746
Bcl6b	Arpc5l	Endothelial	Endothelial	0.026355241336484	0.013271170317450409	0.8486293499351418	0.40191945329960127	FALSE	0.8980320583074345
Jag2	Epas1	Endothelial	Endothelial	0.10826000369654488	0.024954129084219876	0.8466914346378706	0.6463662003042672	FALSE	0.9019942740282807
Prrc2b	Dnajb6	Endothelial	Endothelial	0.01760183961163474	0.008770314920669152	0.2532930379531593	0.195122837041755	FALSE	0.8960160733405397
Erg	Dhx15	Endothelial	Endothelial	0.025782659220821662	0.00809058675697248	0.8350171072624215	0.13167090854279678	FALSE	0.8975002037059722
Rnase1	Cav1	Endothelial	Endothelial	0.01560969593559542	0.021715324562663292	0.5626072705297172	0.4590733548123352	FALSE	0.8723355690184402
Cyth2	Rgl2	Endothelial	Endothelial	0.012710508786951612	0.016625030796904968	0.26129526013312315	0.4112461796382984	FALSE	0.8545009219801613
Sox7	Emcn	Endothelial	Endothelial	0.03293831225012931	0.034886787994141466	0.8471747598314981	0.7933368392536589	FALSE	0.8770269526132263
Ets2	Srsf4	Endothelial	Endothelial	0.012536519017734185	0.009533421673344686	0.2999017220305239	0.2691556237822231	FALSE	0.9034667103806326
Grn	Itga5	Endothelial	Endothelial	0.013966199796137025	0.07923276532499786	0.08882371281260835	0.5733028004291383	FALSE	0.8865155050322586
Dync1li2	Srgap2	Endothelial	Endothelial	0.007494007605336124	0.01987688172229111	0.16967874104755815	0.43248541222930154	FALSE	0.9014164587793105
Shc2	Lrrc32	Endothelial	Endothelial	0.016444336503620854	0.01685348998180911	0.2598998709554623	0.4930919795384523	FALSE	0.8673019810033477
Emp1	Igfbp2	Endothelial	Endothelial	0.027098891029611733	0.01490208592439787	0.587810519036233	0.3440434709460378	FALSE	0.8824998164072443
Guk1	Srsf4	Endothelial	Endothelial	0.007180817891776784	0.009533421673344686	0.16822704884727385	0.2691556237822231	FALSE	0.8746482010615912
Rnase1	Igfbp2	Endothelial	Endothelial	0.01560969593559542	0.01490208592439787	0.5626072705297172	0.3440434709460378	FALSE	0.9093786678977931
Id1	Gng11	Endothelial	Endothelial	0.012284724223635564	0.02179416198375311	0.3460005524760789	0.6171389833970463	FALSE	0.8770915931672654
Rbms1	Lamc1	Endothelial	Endothelial	0.011311451195509843	0.03805359675013623	0.152282722100063	0.27512482573278013	FALSE	0.8925542668672788
Arhgef15	Jak1	Endothelial	Endothelial	0.03105798656035479	0.012825305738256519	0.8650920785255272	0.2795282795655104	FALSE	0.8584743653738903
Dlc1	Igf2bp2	Endothelial	Endothelial	0.020974653383579563	0.011568402921025093	0.40210001175978655	0.1695655301990925	FALSE	0.8990702361438692
App	Dst	Neural	Neural	0.05505558942765039	0.016608251137631192	0.42398576549609646	0.49757012899285835	FALSE	0.8805437668317868
